run,task_id,status,enqueued_at
base_arabic_drafting,c8f9de16198d4f57b2768b9d5a3439aa,completed,2026-07-27T09:13:59+00:00
base_arabic_gapfill,b7d425ba3de84ecdacee29dbac4d1b8d,completed,2026-07-27T09:15:50+00:00
base_devanagari_drafting,ee731375c7984221824dd87d8f1292ca,completed,2026-07-27T09:17:42+00:00
base_devanagari_gapfill,785ee9b0244846eab68a70048b1aac06,completed,2026-07-27T09:19:33+00:00
base_ethiopic_drafting_gmv,30145fe28a9349e086b28ac01c755484,completed,2026-07-27T09:21:27+00:00
base_ethiopic_drafting_gof,271616c1906e4363b5943ef4b952f400,completed,2026-07-27T12:39:12+00:00
base_ethiopic_gapfill_gmv,c21f1c59484849afa9d9b8877819351b,completed,2026-07-27T12:42:35+00:00
base_ethiopic_gapfill_gof,10842b074a3e4935ab50a975da1d92cd,completed,2026-07-27T13:09:09+00:00
base_latin_bantu_drafting,9760d0c6b4ad4ce881e3dfc5f82c1686,completed,2026-07-27T13:45:00+00:00
base_latin_bantu_gapfill,43d9421b1a824f25b347ae67afb5ea95,completed,2026-07-27T13:46:53+00:00
base_telugu,6ff4c342c1b44463ae2cfe725fbc8f5b,completed,2026-07-27T13:56:36+00:00
ms8_arabic_drafting,65a03603d9fe4ca09733a001bd309f41,completed,2026-07-27T00:00:00+00:00
ms8_arabic_gapfill,26998132f1de4f96990cb2f17091d6b2,completed,2026-07-27T13:58:29+00:00
ms8_devanagari_drafting,417f5a32d1c94696879105727c2e5e81,completed,2026-07-27T14:14:32+00:00
ms8_devanagari_gapfill,929bf61145b74189b4621f4ac9dab507,completed,2026-07-27T14:29:00+00:00
ms8_ethiopic_drafting_gmv,23310032156e43aba95ab0a760be901e,completed,2026-07-27T14:54:32+00:00
ms8_ethiopic_drafting_gof,b66d13dd777448f590b3dc52b354338b,completed,2026-07-27T15:10:35+00:00
ms8_ethiopic_gapfill_gmv,909b1d2eaed4477e9890722aaf0c52b0,in_progress,2026-07-27T16:51:31+00:00
ms8_ethiopic_gapfill_gof,5857c590f2bb42bb9acd4a130e362c77,in_progress,2026-07-27T16:54:56+00:00
ms8_latin_bantu_drafting,a70b07d3e9244f069bf82fe057c48081,in_progress,2026-07-27T17:14:02+00:00
ms8_latin_bantu_gapfill,f11de1f4960a42c18b88f828cf8a568f,in_progress,2026-07-27T17:28:28+00:00
ms8_telugu,ee388098d3214245ae72b6fc38d371b6,queued,2026-07-27T17:35:02+00:00
