translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,1CH,942,0,21.79,21.87,19.6,3.51,2.21,12.44,12.47,10.94,0.95,0.13,13.24,urd
ckb,ckb,1KI,816,0,27.37,27.13,24.48,7.65,3.92,14.83,14.18,12.44,1.18,0.12,14.83,pes
ckb,ckb,1PE,105,0,35.75,35.29,31.86,13.26,5.38,12.65,11.71,10.25,0.11,0.06,12.65,pes
ckb,ckb,1SA,809,0,27.77,27.54,24.85,8.5,3.83,15.28,14.85,13.04,1.83,0.15,15.28,pes
ckb,ckb,2CH,822,0,27.06,26.76,24.08,7.01,3.29,15.36,14.72,12.93,0.79,0.15,15.36,pes
ckb,ckb,2KI,719,0,25.59,25.32,22.77,6.78,2.94,14.77,14.1,12.37,1.19,0.12,14.77,pes
ckb,ckb,2PE,61,0,34.22,33.38,30.01,11.25,3.17,12.54,11.73,10.26,0.35,0.18,12.54,pes
ckb,ckb,2SA,694,0,26.53,26.35,23.75,7.86,3.41,14.97,14.41,12.65,1.53,0.15,14.97,pes
ckb,ckb,AMO,146,0,26.05,25.51,22.87,7.11,2.21,13.46,12.75,11.17,0.48,0.14,13.46,pes
ckb,ckb,DAN,356,0,27.46,27.15,24.39,7.68,2.93,13.97,13.58,11.91,0.87,0.2,13.97,pes
ckb,ckb,DEU,959,0,27.36,26.94,24.14,6.55,2.53,13.23,12.75,11.17,0.35,0.11,13.23,pes
ckb,ckb,ECC,222,0,27.31,26.87,24.02,5.79,2.49,12.65,12.11,10.61,0.07,0.07,12.65,pes
ckb,ckb,EST,167,0,25.0,24.74,22.12,4.94,2.26,14.68,14.03,12.33,1.23,0.35,14.68,pes
ckb,ckb,EXO,1213,0,27.09,26.91,24.25,7.59,3.72,13.57,13.3,11.68,0.98,0.32,13.57,pes
ckb,ckb,EZK,1271,0,24.29,23.88,21.35,4.9,2.27,13.3,12.95,11.35,0.4,0.17,13.3,pes
ckb,ckb,EZR,280,0,27.07,26.95,24.28,6.11,3.54,16.43,15.84,13.96,1.25,0.39,16.43,pes
ckb,ckb,GEN,1531,0,27.96,27.82,25.17,9.27,4.53,14.18,13.91,12.23,1.82,0.45,14.18,pes
ckb,ckb,HAB,56,0,28.52,27.89,24.99,7.15,2.8,12.79,12.27,10.74,0.13,0.09,12.79,pes
ckb,ckb,HAG,38,0,26.88,26.4,23.59,5.91,2.43,13.91,13.59,11.98,0.4,0.31,13.91,pes
ckb,ckb,HOS,197,0,27.81,27.32,24.42,7.54,2.08,14.06,13.53,11.84,0.3,0.11,14.06,pes
ckb,ckb,ISA,1290,0,27.44,26.9,24.06,7.09,2.06,13.27,12.81,11.22,0.32,0.06,13.27,pes
ckb,ckb,JAS,108,0,33.89,33.47,30.27,12.21,6.11,12.6,12.17,10.66,0.36,0.15,12.6,pes
ckb,ckb,JDG,618,0,27.07,26.9,24.27,7.79,3.63,14.85,14.26,12.51,1.27,0.13,14.85,pes
ckb,ckb,JER,1364,0,26.14,25.64,23.0,6.69,2.73,14.27,13.62,11.94,0.57,0.09,14.27,pes
ckb,ckb,JOB,1068,0,25.21,24.82,22.16,5.43,2.19,11.87,11.54,10.11,0.37,0.09,11.87,pes
ckb,ckb,JOL,73,0,28.94,28.56,25.75,9.05,4.26,12.67,12.38,10.84,0.33,0.15,12.67,pes
ckb,ckb,JON,48,0,28.57,28.34,25.6,11.07,5.08,13.85,13.43,11.78,1.84,0.34,13.85,pes
ckb,ckb,JOS,658,0,26.43,26.08,23.39,6.23,2.47,14.38,13.72,12.03,0.75,0.08,14.38,pes
ckb,ckb,LAM,154,0,26.73,26.25,23.39,5.55,1.92,13.01,12.49,10.93,0.11,0.05,13.01,pes
ckb,ckb,LEV,859,0,25.61,25.11,22.4,4.16,1.63,12.79,12.41,10.88,0.3,0.08,12.79,pes
ckb,ckb,MAL,55,0,26.48,25.76,23.03,6.41,2.29,13.22,12.54,10.97,0.09,0.07,13.22,pes
ckb,ckb,MIC,105,0,27.19,26.4,23.51,6.82,1.48,13.27,12.54,10.98,0.21,0.1,13.27,pes
ckb,ckb,MRK,678,0,49.6,49.09,46.17,34.78,23.47,13.19,12.63,11.06,1.17,0.1,13.19,pes
ckb,ckb,NAM,47,0,21.71,21.11,18.61,4.17,1.1,12.95,12.6,11.08,0.94,0.4,12.95,pes
