translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,1PE,105,0,40.26,39.66,36.18,18.44,8.7,12.65,11.71,10.25,0.11,0.06,12.65,pes
ckb,ckb,2PE,61,0,39.21,38.41,34.85,15.88,5.95,12.54,11.73,10.26,0.35,0.18,12.54,pes
ckb,ckb,GEN,250,0,48.32,47.83,44.55,30.64,17.67,14.37,14.13,12.45,2.13,0.73,14.37,pes
ckb,ckb,JAS,108,0,38.56,38.06,34.8,16.76,8.59,12.6,12.17,10.66,0.36,0.15,12.6,pes
ckb,ckb,MRK,678,0,54.09,53.57,50.49,38.63,25.53,13.19,12.63,11.06,1.17,0.1,13.19,pes
ckb,ckb,[epistles],274,0,39.38,38.77,35.35,17.21,8.06,12.6,11.89,10.4,0.24,0.08,12.6,pes
urdoucv,urd,1PE,105,0,34.2,34.83,32.15,24.46,9.51,12.32,10.98,9.61,0.14,0.03,12.32,pes
urdoucv,urd,2PE,61,0,34.81,35.46,32.72,25.21,9.39,12.26,10.88,9.53,0.29,0.13,12.26,pes
urdoucv,urd,GEN,250,0,44.88,45.52,42.98,38.33,19.33,11.85,10.6,9.28,0.26,0.07,11.85,pes
urdoucv,urd,JAS,108,0,36.89,37.5,34.71,26.28,10.52,12.42,11.22,9.82,0.12,0.07,12.42,pes
urdoucv,urd,MRK,678,0,45.39,45.82,43.37,37.97,21.81,11.17,9.95,8.71,0.16,0.02,11.48,san
urdoucv,urd,[epistles],274,0,35.31,35.94,33.21,25.39,9.85,12.34,11.04,9.67,0.17,0.06,12.34,pes
