translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
hne,hne,1CH,942,0,30.39,32.01,29.8,10.7,7.34,26.67,26.46,23.92,12.02,4.43,26.67,hin
hne,hne,1KI,816,0,34.87,36.54,34.28,17.2,11.86,23.54,22.99,20.52,5.92,1.77,23.54,hin
hne,hne,1PE,105,0,43.08,44.61,42.48,24.97,21.51,21.58,20.92,18.52,2.15,0.53,21.58,hin
hne,hne,1SA,810,0,36.37,37.99,35.83,20.53,14.06,23.05,22.58,20.13,6.44,1.5,23.05,hin
hne,hne,2CH,822,0,33.25,34.92,32.58,13.89,10.11,22.99,22.35,19.92,4.81,1.59,22.99,hin
hne,hne,2KI,719,0,34.22,35.92,33.66,17.01,11.65,23.83,23.3,20.84,6.76,1.75,23.83,hin
hne,hne,2PE,61,0,42.12,43.65,41.6,25.62,22.43,19.22,18.53,16.38,0.97,0.54,20.86,thr
hne,hne,2SA,695,0,33.66,35.32,33.18,17.12,12.0,23.53,23.22,20.74,7.22,1.61,23.53,hin
hne,hne,AMO,146,0,31.23,32.61,30.22,13.65,8.26,21.07,20.44,18.14,4.66,1.38,21.07,hin
hne,hne,DAN,357,0,31.48,33.13,30.84,13.3,9.55,20.78,20.18,17.9,3.67,1.01,20.78,hin
hne,hne,DEU,959,0,32.71,34.26,31.93,13.44,9.42,20.69,20.04,17.74,2.8,0.82,20.69,hin
hne,hne,ECC,222,0,31.55,33.11,30.73,12.83,8.4,18.15,17.48,15.43,1.18,0.33,18.15,hin
hne,hne,EST,167,0,30.53,32.36,30.04,12.06,8.35,22.77,22.28,19.86,4.77,1.53,22.77,hin
hne,hne,EXO,1213,0,34.08,35.67,33.42,16.05,10.66,21.29,20.79,18.49,4.56,1.26,21.29,hin
hne,hne,EZK,1273,0,31.8,33.2,30.89,13.46,9.13,19.96,19.47,17.25,2.83,0.69,19.96,hin
hne,hne,EZR,280,0,32.98,34.56,32.25,12.15,8.87,25.86,25.36,22.8,8.83,3.4,25.86,hin
hne,hne,GEN,1533,0,38.95,40.63,38.52,21.71,15.59,23.53,23.16,20.72,7.37,2.1,23.53,hin
hne,hne,HAB,56,0,30.15,31.46,29.07,11.72,7.59,19.77,19.04,16.9,3.11,0.8,19.77,hin
hne,hne,HAG,38,0,33.4,35.01,32.74,15.18,11.41,23.83,23.37,20.68,5.79,0.89,23.83,hin
hne,hne,HOS,197,0,33.44,34.86,32.52,14.35,9.56,19.46,18.84,16.69,2.43,0.71,19.46,hin
hne,hne,ISA,1291,0,32.74,34.18,31.83,14.45,9.83,20.95,20.33,18.06,3.41,1.1,20.95,hin
hne,hne,JAS,108,0,47.13,48.71,46.73,30.4,25.37,20.54,19.79,17.5,2.29,0.42,21.12,hlb
hne,hne,JDG,618,0,33.95,35.55,33.31,17.24,11.33,23.56,23.08,20.64,7.99,2.06,23.56,hin
hne,hne,JER,1364,0,34.24,35.68,33.32,15.56,11.07,21.53,20.83,18.52,4.33,1.27,21.53,hin
hne,hne,JOB,1070,0,31.54,32.89,30.62,13.47,9.05,17.24,16.47,14.51,1.69,0.21,17.24,hin
hne,hne,JOL,73,0,32.07,33.68,31.43,14.21,9.63,20.7,20.09,17.83,3.79,0.74,20.7,hin
hne,hne,JON,48,0,38.08,39.58,37.43,21.51,15.49,23.69,23.21,20.75,5.34,2.04,23.69,hin
hne,hne,JOS,658,0,34.52,36.12,33.78,15.67,10.33,25.52,25.1,22.57,9.02,3.47,25.52,hin
hne,hne,LAM,154,0,31.35,32.77,30.35,12.45,7.43,17.87,17.13,15.17,1.58,0.5,17.87,hin
hne,hne,LEV,859,0,32.05,33.71,31.43,14.14,9.06,20.44,19.88,17.64,2.34,0.65,20.44,hin
hne,hne,MAL,55,0,35.02,36.6,34.4,16.97,13.47,20.7,19.91,17.51,1.95,0.52,20.7,hin
hne,hne,MIC,105,0,32.02,33.39,30.97,12.66,8.45,20.19,19.64,17.45,2.61,1.3,20.19,hin
hne,hne,MRK,678,0,58.27,59.42,57.59,46.38,39.06,19.83,19.21,17.04,4.09,0.95,20.29,hlb
hne,hne,NAM,47,0,27.73,28.98,26.6,9.03,4.82,18.31,17.68,15.66,3.03,0.87,18.31,hin
hne,hne,NEH,405,0,32.37,33.95,31.74,12.64,9.61,24.14,23.6,21.15,8.02,2.49,24.14,hin
hne,hne,NUM,1288,0,32.32,33.94,31.71,13.46,8.76,22.48,22.18,19.75,5.55,1.33,22.48,hin
hne,hne,OBA,21,0,29.39,30.44,28.09,11.3,6.69,23.05,22.49,20.0,4.68,0.97,23.05,hin
hne,hne,PRO,915,0,32.78,34.43,32.36,15.03,10.75,18.42,17.95,15.85,1.53,0.37,18.42,hin
hne,hne,PSA,2460,0,34.95,36.4,34.19,16.54,12.23,19.12,18.57,16.55,2.37,1.12,19.12,hin
hne,hne,RUT,85,0,35.66,37.17,35.03,20.74,14.07,21.56,21.44,19.2,8.17,1.67,21.56,hin
hne,hne,SNG,117,0,31.63,33.27,31.14,13.6,9.26,19.5,19.21,17.11,3.3,0.71,19.5,hin
hne,hne,ZEC,211,0,34.03,35.44,33.12,17.73,11.26,20.99,20.45,18.16,3.94,0.9,20.99,hin
hne,hne,ZEP,53,0,32.21,33.62,31.3,14.38,9.6,19.5,19.07,16.99,2.95,1.31,19.5,hin
hne,hne,[epistles],274,0,44.27,45.82,43.76,27.1,23.21,20.63,19.92,17.63,1.96,0.38,20.65,thr
hne,hne,[OT],23142,0,33.6,35.16,32.9,15.65,10.72,21.77,21.25,18.93,5.05,1.54,21.77,hin
