translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
hne,hne,1PE,105,0,43.68,45.29,43.13,25.65,21.16,21.58,20.92,18.52,2.15,0.53,21.58,hin
hne,hne,2PE,61,0,42.27,43.66,41.4,24.54,20.51,19.22,18.53,16.38,0.97,0.54,20.86,thr
hne,hne,GEN,250,0,53.85,55.25,53.4,42.58,34.32,23.64,23.41,21.03,8.09,2.7,23.64,hin
hne,hne,JAS,108,0,47.24,48.9,46.94,30.76,25.47,20.54,19.79,17.5,2.29,0.42,21.12,hlb
hne,hne,MRK,678,0,57.64,58.82,56.97,45.63,37.61,19.83,19.21,17.04,4.09,0.95,20.29,hlb
hne,hne,[epistles],274,0,44.58,46.16,44.05,27.24,22.8,20.63,19.92,17.63,1.96,0.38,20.65,thr
mar,mar,1PE,103,0,36.05,35.8,32.41,10.57,5.23,17.66,16.71,14.63,0.82,0.1,17.66,hin
mar,mar,2PE,61,0,34.72,34.52,31.44,11.1,7.13,16.48,15.43,13.52,0.55,0.13,16.48,hin
mar,mar,GEN,250,0,39.73,39.7,36.58,21.35,11.64,16.88,16.05,14.18,3.95,0.99,16.88,hin
mar,mar,JAS,108,0,35.84,36.11,33.1,13.39,8.3,17.3,16.5,14.5,1.2,0.17,17.3,hin
mar,mar,MRK,673,0,45.78,45.61,42.36,25.78,16.61,14.92,14.02,12.31,1.87,0.12,14.92,hin
mar,mar,[epistles],272,0,35.65,35.6,32.43,11.78,6.92,17.24,16.32,14.31,0.89,0.08,17.24,hin
