translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gmve,gmv,1CH,938,0,15.58,15.95,14.41,13.77,1.52,13.29,12.85,11.42,9.78,0.5,13.29,gof
gmve,gmv,1KI,816,0,18.23,18.92,17.12,17.82,2.28,15.27,15.14,13.52,12.54,0.82,15.27,gof
gmve,gmv,1PE,103,0,22.5,23.45,21.46,22.27,4.18,10.7,10.28,9.09,7.17,0.32,10.7,gof
gmve,gmv,1SA,810,0,18.17,18.82,17.02,17.6,2.52,11.89,11.71,10.4,8.25,0.32,11.89,gof
gmve,gmv,2CH,821,0,18.58,19.15,17.35,18.3,2.26,14.89,14.66,13.04,12.02,0.52,14.89,gof
gmve,gmv,2KI,719,0,17.18,17.55,15.81,16.2,1.94,11.88,11.44,10.11,7.6,0.25,11.88,gof
gmve,gmv,2PE,61,0,19.54,20.47,18.77,19.4,3.14,11.31,11.25,10.01,8.04,1.06,11.31,gof
gmve,gmv,2SA,694,0,16.7,17.25,15.57,15.69,2.29,11.45,11.21,9.94,7.7,0.42,11.45,gof
gmve,gmv,AMO,146,0,18.0,18.52,16.78,16.6,2.14,13.11,13.03,11.6,9.94,0.35,13.11,gof
gmve,gmv,DAN,357,0,16.5,17.14,15.46,15.61,1.74,12.1,11.81,10.45,9.47,0.3,12.1,gof
gmve,gmv,DEU,957,0,17.93,18.69,16.93,16.77,2.23,12.1,11.92,10.58,9.13,0.38,12.1,gof
gmve,gmv,ECC,222,0,16.88,17.38,15.74,15.89,1.89,13.38,13.1,11.62,11.71,0.39,13.38,gof
gmve,gmv,EST,167,0,15.93,16.23,14.56,14.25,1.48,13.29,13.0,11.58,11.0,0.56,13.29,gof
gmve,gmv,EXO,1208,0,18.59,19.25,17.48,18.21,2.64,14.0,13.98,12.54,12.08,1.02,14.0,gof
gmve,gmv,EZK,1268,0,17.88,18.66,16.92,16.32,2.16,14.39,14.57,13.06,11.93,0.77,14.39,gof
