translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gofe,gof,1CH,938,0,14.42,14.45,12.98,10.4,1.28,14.24,13.74,12.22,9.89,0.49,14.24,gmv
gofe,gof,1KI,816,0,16.73,16.93,15.24,14.66,1.72,16.06,15.93,14.23,12.62,0.82,16.06,gmv
gofe,gof,1PE,103,0,28.09,28.74,26.69,27.99,7.26,12.09,11.65,10.31,7.31,0.32,15.39,oyd
gofe,gof,1SA,810,0,16.28,16.55,14.87,13.9,1.78,12.67,12.5,11.1,8.32,0.32,12.67,gmv
gofe,gof,2CH,821,0,17.37,17.55,15.83,15.1,2.08,15.67,15.43,13.72,12.1,0.51,15.67,gmv
gofe,gof,2KI,719,0,15.62,15.57,13.91,12.76,1.36,12.56,12.12,10.71,7.67,0.25,12.56,gmv
gofe,gof,2PE,61,0,25.87,26.71,24.94,25.45,8.05,13.06,13.04,11.61,8.24,1.06,14.88,oyd
gofe,gof,2SA,694,0,14.56,14.71,13.18,11.62,1.23,12.34,12.08,10.72,7.79,0.42,12.34,gmv
gofe,gof,AMO,146,0,15.97,16.07,14.48,12.95,1.5,13.69,13.66,12.16,9.97,0.35,13.69,gmv
gofe,gof,DAN,357,0,14.9,14.96,13.36,12.43,1.03,13.02,12.73,11.27,9.56,0.3,13.02,gmv
gofe,gof,DEU,957,0,16.58,16.9,15.21,13.79,1.83,13.22,12.99,11.53,9.21,0.38,13.22,gmv
gofe,gof,ECC,222,0,13.16,13.28,11.87,10.5,0.61,13.52,13.25,11.76,11.71,0.39,13.52,gmv
gofe,gof,EST,167,0,14.2,14.07,12.56,11.23,1.02,13.22,12.91,11.5,11.0,0.56,13.22,gmv
gofe,gof,EXO,1208,0,17.61,17.93,16.21,15.83,2.04,15.03,15.04,13.5,12.17,1.02,15.03,gmv
gofe,gof,EZK,1268,0,15.43,15.78,14.19,12.31,1.17,15.11,15.32,13.74,11.98,0.77,15.11,gmv
gofe,gof,EZR,271,0,14.76,14.59,13.06,11.52,1.09,12.3,11.78,10.44,8.52,0.22,12.3,gmv
gofe,gof,GEN,1510,0,18.83,19.3,17.56,17.76,3.22,14.94,15.13,13.63,12.18,1.41,14.94,gmv
