translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,1CH,942,0,32.07,31.26,28.0,7.45,2.94,21.27,20.74,18.16,2.28,0.18,22.3,nya
nde,nde,1KI,816,0,33.8,32.53,29.1,8.85,3.53,19.71,18.76,16.42,1.97,0.34,21.42,nya
nde,nde,1PE,105,0,44.82,44.0,40.32,14.74,10.09,17.34,17.11,15.0,0.92,0.45,20.42,nya
nde,nde,1SA,810,0,34.72,33.81,30.58,11.11,5.57,19.49,18.74,16.4,2.56,0.41,21.5,nya
nde,nde,2CH,822,0,34.07,32.64,29.17,7.83,2.95,19.81,18.66,16.33,1.45,0.22,21.6,nya
nde,nde,2KI,719,0,33.12,31.94,28.58,8.45,3.24,20.48,19.48,17.05,2.29,0.53,22.01,nya
nde,nde,2PE,61,0,43.1,42.2,38.42,12.99,9.18,18.44,17.81,15.6,0.68,0.42,20.79,nya
nde,nde,2SA,695,0,33.79,32.89,29.64,9.58,4.73,20.43,19.56,17.12,2.84,0.36,22.14,nya
nde,nde,AMO,146,0,30.95,29.88,26.77,6.94,3.09,18.55,17.96,15.72,1.89,0.89,20.75,nya
nde,nde,DAN,357,0,30.48,29.42,26.3,5.42,2.86,19.18,18.53,16.22,1.02,0.35,20.9,nya
nde,nde,DEU,959,0,33.75,32.63,29.29,6.18,3.15,17.29,16.61,14.53,0.8,0.06,19.54,nya
nde,nde,ECC,222,0,35.05,34.08,30.58,5.71,3.51,17.29,16.93,14.81,0.45,0.16,19.22,nya
nde,nde,EST,167,0,27.73,26.7,23.8,4.12,2.11,19.47,18.5,16.18,1.06,0.27,21.09,nya
nde,nde,EXO,1213,0,33.75,32.49,29.14,9.15,4.04,17.93,17.12,14.98,1.34,0.26,19.39,nya
nde,nde,EZK,1273,0,30.46,29.48,26.4,5.61,2.61,18.36,17.75,15.54,1.16,0.31,19.79,nya
