translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,1PE,105,0,51.44,50.37,46.47,20.84,13.99,17.34,17.11,15.0,0.92,0.45,20.42,nya
nde,nde,2PE,61,0,49.16,48.08,44.14,18.76,13.02,18.44,17.81,15.6,0.68,0.42,20.79,nya
nde,nde,GEN,250,0,58.82,57.7,53.96,37.69,23.75,20.05,19.35,16.94,2.44,0.32,20.42,nya
nde,nde,JAS,108,0,49.91,49.24,45.39,21.25,13.11,17.18,17.03,14.9,0.89,0.28,19.08,nya
nde,nde,MRK,678,0,59.79,58.86,55.13,36.2,25.23,18.37,17.87,15.64,2.33,0.63,19.79,nya
nde,nde,[epistles],274,0,50.33,49.4,45.51,20.48,13.45,17.55,17.26,15.12,0.86,0.3,20.03,nya
nya,nya,1PE,105,0,50.49,50.4,47.08,22.89,17.83,20.67,19.73,17.32,0.51,0.25,20.67,sna
nya,nya,2PE,61,0,48.6,48.31,44.75,18.81,15.83,21.76,20.43,17.93,0.95,0.5,21.76,sna
nya,nya,GEN,250,0,54.55,54.44,51.38,30.7,25.05,24.7,23.18,20.4,3.16,1.44,24.7,sna
nya,nya,JAS,108,0,49.39,49.3,45.92,21.66,17.12,20.09,19.21,16.82,1.08,0.36,20.09,sna
nya,nya,MRK,678,0,62.02,61.63,58.38,38.0,30.85,22.68,21.65,19.01,3.02,0.57,22.68,sna
nya,nya,[epistles],274,0,49.63,49.49,46.09,21.45,17.09,20.73,19.71,17.29,0.86,0.29,20.73,sna
