translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nit,nit,1PE,105,0,28.55,27.97,24.95,13.3,1.07,16.56,16.2,14.27,1.38,0.81,16.56,tel
nit,nit,2PE,60,0,27.76,27.39,24.53,12.06,2.94,18.01,17.69,15.63,1.64,0.5,18.01,tel
nit,nit,JAS,108,0,27.8,27.6,24.7,11.66,1.9,18.19,18.01,15.89,2.09,0.83,18.19,tel
nit,nit,MRK,670,0,27.99,27.22,24.23,14.14,1.54,14.6,13.87,12.14,0.9,0.08,14.6,tel
nit,nit,[epistles],273,0,28.1,27.71,24.77,12.76,2.03,17.48,17.2,15.17,1.69,0.75,17.48,tel
vgr,vgr,1PE,105,0,23.39,22.52,19.85,7.3,0.32,19.01,18.08,15.93,2.23,1.05,19.01,tel
vgr,vgr,2PE,61,0,22.61,21.67,19.09,5.86,0.54,18.13,17.12,15.0,1.65,0.29,18.13,tel
vgr,vgr,JAS,108,0,23.91,23.02,20.26,8.05,0.61,17.82,17.06,14.97,1.69,0.2,17.82,tel
vgr,vgr,MRK,676,0,24.57,23.96,21.29,11.07,1.16,15.7,15.1,13.25,2.01,0.36,15.7,tel
vgr,vgr,[epistles],274,0,23.38,22.49,19.81,7.3,0.42,18.36,17.47,15.35,1.92,0.58,18.36,tel
