translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,1CH,942,0,26.14,26.45,23.92,7.3,3.75,12.44,12.47,10.94,0.95,0.13,13.24,urd
ckb,ckb,1KI,816,0,31.15,31.01,28.13,10.68,5.27,14.83,14.18,12.44,1.18,0.12,14.83,pes
ckb,ckb,1PE,105,0,37.75,37.42,34.08,16.06,7.08,12.65,11.71,10.25,0.11,0.06,12.65,pes
ckb,ckb,1SA,810,0,31.67,31.58,28.68,11.16,5.41,15.26,14.83,13.02,1.82,0.15,15.26,pes
ckb,ckb,2CH,822,0,31.87,31.7,28.76,10.92,5.29,15.36,14.72,12.93,0.79,0.15,15.36,pes
ckb,ckb,2KI,719,0,30.73,30.44,27.57,10.79,5.0,14.77,14.1,12.37,1.19,0.12,14.77,pes
ckb,ckb,2PE,61,0,36.46,35.76,32.36,13.3,5.02,12.54,11.73,10.26,0.35,0.18,12.54,pes
ckb,ckb,2SA,695,0,30.47,30.41,27.6,10.71,5.45,14.94,14.39,12.63,1.53,0.15,14.94,pes
ckb,ckb,AMO,146,0,29.57,29.1,26.13,9.37,3.02,13.46,12.75,11.17,0.48,0.14,13.46,pes
ckb,ckb,DAN,357,0,30.44,30.24,27.24,9.49,3.89,13.95,13.57,11.89,0.87,0.2,13.95,pes
ckb,ckb,DEU,959,0,30.08,29.86,26.96,8.51,3.93,13.23,12.75,11.17,0.35,0.11,13.23,pes
ckb,ckb,ECC,222,0,29.7,29.4,26.39,7.22,3.1,12.65,12.11,10.61,0.07,0.07,12.65,pes
ckb,ckb,EST,167,0,29.25,29.03,26.14,7.71,3.58,14.68,14.03,12.33,1.23,0.35,14.68,pes
ckb,ckb,EXO,1213,0,30.38,30.3,27.48,10.32,5.32,13.57,13.3,11.68,0.98,0.32,13.57,pes
ckb,ckb,EZK,1273,0,28.98,28.68,25.86,8.33,3.93,13.28,12.93,11.34,0.4,0.17,13.28,pes
ckb,ckb,EZR,280,0,31.89,31.97,29.15,10.84,5.9,16.43,15.84,13.96,1.25,0.39,16.43,pes
ckb,ckb,GEN,1533,0,31.56,31.51,28.67,11.95,6.11,14.17,13.9,12.22,1.82,0.45,14.17,pes
ckb,ckb,HAB,56,0,29.73,29.61,26.81,9.56,4.66,12.79,12.27,10.74,0.13,0.09,12.79,pes
ckb,ckb,HAG,38,0,31.01,30.58,27.54,8.6,2.94,13.91,13.59,11.98,0.4,0.31,13.91,pes
ckb,ckb,HOS,197,0,31.27,30.74,27.62,8.83,2.71,14.06,13.53,11.84,0.3,0.11,14.06,pes
ckb,ckb,ISA,1291,0,30.16,29.77,26.77,8.99,3.23,13.27,12.81,11.22,0.32,0.06,13.27,pes
ckb,ckb,JAS,108,0,37.41,37.12,33.9,15.55,8.33,12.6,12.17,10.66,0.36,0.15,12.6,pes
ckb,ckb,JDG,618,0,31.77,31.64,28.76,10.78,5.47,14.85,14.26,12.51,1.27,0.13,14.85,pes
ckb,ckb,JER,1364,0,30.99,30.6,27.65,10.32,4.27,14.27,13.62,11.94,0.57,0.09,14.27,pes
ckb,ckb,JOB,1070,0,27.03,26.74,24.01,6.87,2.92,11.86,11.53,10.1,0.37,0.09,11.86,pes
ckb,ckb,JOL,73,0,31.93,31.54,28.49,10.59,4.87,12.67,12.38,10.84,0.33,0.15,12.67,pes
ckb,ckb,JON,48,0,31.69,31.56,28.79,13.26,6.19,13.85,13.43,11.78,1.84,0.34,13.85,pes
ckb,ckb,JOS,658,0,30.39,30.12,27.16,9.4,3.84,14.38,13.72,12.03,0.75,0.08,14.38,pes
ckb,ckb,LAM,154,0,28.42,27.87,24.9,7.12,2.7,13.01,12.49,10.93,0.11,0.05,13.01,pes
ckb,ckb,LEV,859,0,29.6,29.26,26.36,7.18,3.49,12.79,12.41,10.88,0.3,0.08,12.79,pes
ckb,ckb,MAL,55,0,29.59,29.15,26.2,8.84,2.4,13.22,12.54,10.97,0.09,0.07,13.22,pes
ckb,ckb,MIC,105,0,31.3,30.8,27.7,9.42,2.5,13.27,12.54,10.98,0.21,0.1,13.27,pes
ckb,ckb,MRK,678,0,52.69,52.24,49.23,37.26,25.61,13.19,12.63,11.06,1.17,0.1,13.19,pes
ckb,ckb,NAM,47,0,26.29,25.91,23.12,6.06,2.88,12.95,12.6,11.08,0.94,0.4,12.95,pes
ckb,ckb,NEH,405,0,29.37,29.28,26.55,9.25,4.62,15.35,14.92,13.13,1.25,0.31,15.35,pes
ckb,ckb,NUM,1288,0,29.24,29.13,26.38,8.9,4.61,14.51,13.94,12.26,0.87,0.22,14.51,pes
ckb,ckb,OBA,21,0,28.21,27.63,24.69,7.48,1.67,12.93,11.98,10.48,0.35,0.17,12.93,pes
ckb,ckb,PRO,915,0,29.21,28.92,25.95,7.71,2.77,11.55,11.25,9.85,0.11,0.05,11.55,pes
ckb,ckb,PSA,2460,0,30.49,30.32,27.36,10.11,4.19,12.46,12.03,10.53,0.26,0.05,12.46,pes
ckb,ckb,RUT,85,0,29.83,29.82,27.04,10.58,3.88,13.19,12.71,11.13,1.21,0.27,13.19,pes
ckb,ckb,SNG,117,0,24.11,23.84,21.2,4.16,1.46,12.29,11.84,10.36,0.26,0.12,12.29,pes
ckb,ckb,ZEC,211,0,31.6,30.97,27.9,11.36,4.34,13.44,12.9,11.3,0.98,0.12,13.44,pes
ckb,ckb,ZEP,53,0,32.06,31.54,28.48,10.16,4.95,13.44,12.77,11.19,0.28,0.17,13.44,pes
ckb,ckb,[epistles],274,0,37.3,36.9,33.59,15.29,7.09,12.6,11.89,10.4,0.24,0.08,12.6,pes
ckb,ckb,[OT],23142,0,30.19,29.99,27.11,9.64,4.47,13.82,13.36,11.72,0.86,0.15,13.82,pes
urdoucv,urd,1CH,942,0,27.26,27.67,25.15,16.79,4.18,12.21,10.74,9.4,1.42,0.01,12.29,ckb
urdoucv,urd,1KI,816,0,28.46,29.06,26.53,16.92,5.1,13.01,11.53,10.09,0.32,0.03,13.01,pes
urdoucv,urd,1PE,105,0,34.18,34.78,32.02,25.02,9.2,12.32,10.98,9.61,0.14,0.03,12.32,pes
urdoucv,urd,1SA,810,0,30.1,30.65,28.0,18.9,5.47,13.07,11.53,10.09,0.32,0.01,13.07,pes
urdoucv,urd,2CH,822,0,29.26,29.84,27.24,18.27,5.07,13.4,11.87,10.38,0.33,0.01,13.4,pes
urdoucv,urd,2KI,719,0,28.24,28.89,26.35,16.8,4.61,12.79,11.3,9.89,0.43,0.01,12.79,pes
urdoucv,urd,2PE,61,0,33.21,33.82,31.1,23.45,7.84,12.26,10.88,9.53,0.29,0.13,12.26,pes
urdoucv,urd,2SA,695,0,31.16,31.7,29.0,19.95,5.86,13.61,11.99,10.49,0.42,0.02,13.61,pes
urdoucv,urd,AMO,146,0,28.63,28.83,26.21,16.36,4.62,12.49,11.11,9.73,0.14,0.05,12.49,pes
urdoucv,urd,DAN,357,0,29.5,30.01,27.36,17.9,4.95,13.34,11.82,10.35,0.24,0.02,13.34,pes
urdoucv,urd,DEU,959,0,28.76,29.31,26.74,18.02,5.13,11.97,10.71,9.37,0.09,0.03,11.97,pes
urdoucv,urd,ECC,222,0,28.02,28.73,26.19,15.93,4.47,12.11,10.8,9.46,0.18,0.08,12.11,pes
urdoucv,urd,EST,167,0,27.87,28.44,25.77,14.8,3.82,13.63,12.06,10.55,0.22,0.02,13.63,pes
urdoucv,urd,EXO,1213,0,29.11,29.67,27.09,18.78,5.14,11.92,10.58,9.26,0.18,0.01,11.92,pes
urdoucv,urd,EZK,1273,0,29.16,29.63,27.03,18.29,5.34,12.53,11.2,9.8,0.09,0.01,12.53,pes
urdoucv,urd,EZR,280,0,29.82,30.18,27.48,18.18,5.08,14.92,13.3,11.64,0.78,0.05,14.92,pes
urdoucv,urd,GEN,1533,0,31.48,32.06,29.45,21.58,6.98,11.95,10.65,9.32,0.22,0.03,11.95,pes
urdoucv,urd,HAB,56,0,25.83,26.23,23.68,13.61,2.11,11.84,10.47,9.16,0.16,0.06,11.84,pes
urdoucv,urd,HAG,38,0,28.63,29.01,26.58,17.58,5.24,12.25,11.07,9.7,0.14,0.14,12.25,pes
urdoucv,urd,HOS,197,0,30.13,30.48,27.76,19.13,4.55,12.49,11.02,9.64,0.28,0.04,12.49,pes
urdoucv,urd,ISA,1291,0,28.6,28.97,26.34,16.72,4.29,12.14,10.8,9.45,0.16,0.01,12.14,pes
urdoucv,urd,JAS,108,0,35.69,36.45,33.63,24.91,9.69,12.42,11.22,9.82,0.12,0.07,12.42,pes
urdoucv,urd,JDG,618,0,30.29,30.86,28.23,18.68,5.8,13.48,11.89,10.4,0.29,0.01,13.48,pes
urdoucv,urd,JER,1364,0,29.09,29.41,26.78,17.22,4.68,12.85,11.43,10.0,0.27,0.02,12.85,pes
urdoucv,urd,JOB,1070,0,27.04,27.3,24.85,15.71,4.03,11.0,9.81,8.58,0.11,0.01,11.0,pes
urdoucv,urd,JOL,73,0,30.45,30.79,28.13,18.64,5.28,12.04,10.76,9.41,0.23,0.05,12.04,pes
