translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,1PE,105,0,42.72,42.22,38.74,20.89,10.78,12.65,11.71,10.25,0.11,0.06,12.65,pes
ckb,ckb,2PE,61,0,39.49,38.85,35.35,16.42,7.83,12.54,11.73,10.26,0.35,0.18,12.54,pes
ckb,ckb,GEN,250,0,51.29,50.98,47.71,33.98,20.21,14.37,14.13,12.45,2.13,0.73,14.37,pes
ckb,ckb,JAS,108,0,42.14,41.71,38.19,19.63,9.72,12.6,12.17,10.66,0.36,0.15,12.6,pes
ckb,ckb,MRK,678,0,56.16,55.72,52.58,39.92,26.88,13.19,12.63,11.06,1.17,0.1,13.19,pes
ckb,ckb,[epistles],274,0,41.7,41.2,37.71,19.35,9.71,12.6,11.89,10.4,0.24,0.08,12.6,pes
urdoucv,urd,1PE,105,0,37.52,38.15,35.43,28.42,11.85,12.32,10.98,9.61,0.14,0.03,12.32,pes
urdoucv,urd,2PE,61,0,36.98,37.77,34.94,27.29,10.51,12.26,10.88,9.53,0.29,0.13,12.26,pes
urdoucv,urd,GEN,250,0,46.44,47.03,44.47,40.68,20.94,11.85,10.6,9.28,0.26,0.07,11.85,pes
urdoucv,urd,JAS,108,0,39.08,39.72,36.9,28.2,11.92,12.42,11.22,9.82,0.12,0.07,12.42,pes
urdoucv,urd,MRK,678,0,46.41,46.9,44.4,39.23,21.87,11.17,9.95,8.71,0.16,0.02,11.48,san
urdoucv,urd,[epistles],274,0,37.94,38.61,35.83,28.41,11.66,12.34,11.04,9.67,0.17,0.06,12.34,pes
