translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
hne,hne,1CH,942,0,31.55,33.13,30.88,12.7,8.91,26.67,26.46,23.92,12.02,4.43,26.67,hin
hne,hne,1KI,816,0,35.54,37.13,34.86,18.42,13.42,23.54,22.99,20.52,5.92,1.77,23.54,hin
hne,hne,1PE,105,0,44.46,45.96,43.78,26.52,21.83,21.58,20.92,18.52,2.15,0.53,21.58,hin
hne,hne,1SA,810,0,37.12,38.66,36.52,21.59,16.03,23.05,22.58,20.13,6.44,1.5,23.05,hin
hne,hne,2CH,822,0,34.21,35.84,33.46,15.02,11.46,22.99,22.35,19.92,4.81,1.59,22.99,hin
hne,hne,2KI,719,0,34.49,36.14,33.89,17.5,12.85,23.83,23.3,20.84,6.76,1.75,23.83,hin
hne,hne,2PE,61,0,42.48,44.16,42.03,25.57,21.71,19.22,18.53,16.38,0.97,0.54,20.86,thr
hne,hne,2SA,695,0,34.43,36.08,33.94,17.93,13.41,23.53,23.22,20.74,7.22,1.61,23.53,hin
hne,hne,AMO,146,0,32.94,34.33,31.87,15.26,9.87,21.07,20.44,18.14,4.66,1.38,21.07,hin
hne,hne,DAN,357,0,32.48,34.06,31.72,14.13,10.46,20.78,20.18,17.9,3.67,1.01,20.78,hin
hne,hne,DEU,959,0,32.96,34.5,32.17,14.19,10.11,20.69,20.04,17.74,2.8,0.82,20.69,hin
hne,hne,ECC,222,0,31.29,32.87,30.51,12.68,8.71,18.15,17.48,15.43,1.18,0.33,18.15,hin
hne,hne,EST,167,0,30.53,32.12,29.83,12.52,9.82,22.77,22.28,19.86,4.77,1.53,22.77,hin
hne,hne,EXO,1213,0,34.32,35.88,33.65,17.49,11.99,21.29,20.79,18.49,4.56,1.26,21.29,hin
hne,hne,EZK,1273,0,32.63,34.04,31.71,14.41,10.11,19.96,19.47,17.25,2.83,0.69,19.96,hin
hne,hne,EZR,280,0,33.8,35.34,33.04,13.8,10.28,25.86,25.36,22.8,8.83,3.4,25.86,hin
hne,hne,GEN,1533,0,40.25,41.9,39.79,24.07,17.68,23.53,23.16,20.72,7.37,2.1,23.53,hin
