translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
hne,hne,1PE,105,0,45.57,47.13,44.91,28.24,23.15,21.58,20.92,18.52,2.15,0.53,21.58,hin
hne,hne,2PE,61,0,44.66,46.11,43.95,27.39,23.37,19.22,18.53,16.38,0.97,0.54,20.86,thr
hne,hne,GEN,250,0,53.79,55.18,53.24,41.81,33.07,23.64,23.41,21.03,8.09,2.7,23.64,hin
hne,hne,JAS,108,0,51.17,52.62,50.63,35.33,28.87,20.54,19.79,17.5,2.29,0.42,21.12,hlb
hne,hne,MRK,678,0,57.65,58.87,56.96,45.32,36.84,19.83,19.21,17.04,4.09,0.95,20.29,hlb
hne,hne,[epistles],274,0,47.31,48.81,46.69,30.61,25.5,20.63,19.92,17.63,1.96,0.38,20.65,thr
mar,mar,1PE,103,0,38.64,38.4,34.94,13.29,7.31,17.66,16.71,14.63,0.82,0.1,17.66,hin
mar,mar,2PE,61,0,36.07,35.54,32.25,11.33,6.67,16.48,15.43,13.52,0.55,0.13,16.48,hin
mar,mar,GEN,250,0,39.95,39.91,36.89,21.58,12.01,16.88,16.05,14.18,3.95,0.99,16.88,hin
mar,mar,JAS,108,0,37.79,37.75,34.49,13.02,7.03,17.3,16.5,14.5,1.2,0.17,17.3,hin
mar,mar,MRK,673,0,47.06,46.87,43.55,26.46,16.99,14.92,14.02,12.31,1.87,0.12,14.92,hin
mar,mar,[epistles],272,0,37.7,37.46,34.12,12.71,7.07,17.24,16.32,14.31,0.89,0.08,17.24,hin
