translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gmve,gmv,1CH,938,0,17.28,17.56,16.01,16.96,3.04,13.29,12.85,11.42,9.78,0.5,13.29,gof
gmve,gmv,1KI,816,0,20.54,21.12,19.27,20.97,3.96,15.27,15.14,13.52,12.54,0.82,15.27,gof
gmve,gmv,1PE,105,0,26.62,27.48,25.51,27.55,7.38,10.6,10.19,9.01,7.08,0.31,10.6,gof
gmve,gmv,1SA,810,0,19.33,19.84,18.05,19.34,3.07,11.89,11.71,10.4,8.25,0.32,11.89,gof
gmve,gmv,2CH,821,0,20.27,20.77,18.98,20.67,3.81,14.89,14.66,13.04,12.02,0.52,14.89,gof
gmve,gmv,2KI,719,0,18.12,18.37,16.63,17.4,2.58,11.88,11.44,10.11,7.6,0.25,11.88,gof
gmve,gmv,2PE,61,0,24.2,24.98,23.19,24.67,7.25,11.31,11.25,10.01,8.04,1.06,11.31,gof
gmve,gmv,2SA,694,0,17.65,18.17,16.48,17.33,2.84,11.45,11.21,9.94,7.7,0.42,11.45,gof
gmve,gmv,AMO,146,0,19.99,20.6,18.83,19.36,3.04,13.11,13.03,11.6,9.94,0.35,13.11,gof
gmve,gmv,DAN,357,0,18.43,18.87,17.16,18.19,2.69,12.1,11.81,10.45,9.47,0.3,12.1,gof
gmve,gmv,DEU,957,0,19.41,20.06,18.26,18.95,3.15,12.1,11.92,10.58,9.13,0.38,12.1,gof
gmve,gmv,ECC,222,0,18.5,18.88,17.25,18.88,2.8,13.38,13.1,11.62,11.71,0.39,13.38,gof
gmve,gmv,EST,167,0,17.4,17.61,15.93,16.32,1.89,13.29,13.0,11.58,11.0,0.56,13.29,gof
gmve,gmv,EXO,1208,0,20.43,20.98,19.18,20.97,3.67,14.0,13.98,12.54,12.08,1.02,14.0,gof
gmve,gmv,EZK,1268,0,19.29,19.95,18.26,18.61,3.6,14.39,14.57,13.06,11.93,0.77,14.39,gof
gmve,gmv,EZR,271,0,15.99,16.31,14.88,15.55,2.92,11.44,10.95,9.7,8.44,0.22,11.44,gof
gmve,gmv,GEN,1510,0,23.72,24.64,22.8,25.28,6.32,14.44,14.61,13.16,12.14,1.42,14.44,gof
gmve,gmv,HAB,56,0,15.71,16.58,15.15,14.3,2.47,11.43,11.22,9.92,8.78,0.48,11.43,gof
gmve,gmv,HAG,38,0,20.77,21.28,19.19,21.46,1.71,15.05,14.98,13.43,13.27,0.82,15.05,gof
gmve,gmv,HOS,197,0,19.81,20.47,18.65,19.06,2.93,12.93,12.88,11.43,9.42,0.44,12.93,gof
gmve,gmv,ISA,1291,0,18.7,19.37,17.65,18.29,2.89,14.81,14.87,13.32,12.81,1.06,14.81,gof
gmve,gmv,JAS,105,0,25.41,26.18,24.38,26.8,7.61,10.78,10.81,9.61,7.87,0.3,10.78,gof
gmve,gmv,JDG,617,0,21.32,21.91,20.16,21.61,5.22,13.33,13.19,11.76,10.3,0.74,13.33,gof
gmve,gmv,JER,1363,0,19.76,20.3,18.51,19.45,3.46,14.3,14.13,12.6,11.67,0.57,14.3,gof
gmve,gmv,JOB,1066,0,17.3,18.16,16.55,16.85,2.72,11.61,11.81,10.53,8.93,0.42,11.61,gof
gmve,gmv,JOL,72,0,18.7,19.07,17.33,17.53,2.65,11.97,11.89,10.61,9.0,0.59,11.97,gof
gmve,gmv,JON,48,0,23.05,23.9,22.13,23.74,6.37,14.66,14.69,13.14,11.82,0.88,14.66,gof
gmve,gmv,JOS,656,0,18.98,19.39,17.67,18.09,3.02,13.06,12.71,11.3,9.5,0.33,13.06,gof
gmve,gmv,LAM,154,0,17.73,18.58,16.99,17.59,2.85,11.56,11.91,10.56,8.43,0.38,11.56,gof
