translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gofe,gof,1CH,938,0,17.53,17.85,16.21,15.44,2.41,14.24,13.74,12.22,9.89,0.49,14.24,gmv
gofe,gof,1KI,816,0,20.63,21.17,19.27,19.38,3.3,16.06,15.93,14.23,12.62,0.82,16.06,gmv
gofe,gof,1PE,103,0,45.16,46.16,43.87,47.02,19.86,12.09,11.65,10.31,7.31,0.32,15.39,oyd
gofe,gof,1SA,810,0,19.44,19.93,18.07,17.78,3.01,12.67,12.5,11.1,8.32,0.32,12.67,gmv
gofe,gof,2CH,821,0,20.66,21.14,19.22,18.95,3.37,15.67,15.43,13.72,12.1,0.51,15.67,gmv
gofe,gof,2KI,719,0,17.91,18.13,16.32,15.56,2.3,12.56,12.12,10.71,7.67,0.25,12.56,gmv
gofe,gof,2PE,61,0,40.3,41.7,39.55,42.35,17.92,13.06,13.04,11.61,8.24,1.06,14.88,oyd
gofe,gof,2SA,694,0,18.14,18.54,16.71,16.0,2.59,12.34,12.08,10.72,7.79,0.42,12.34,gmv
gofe,gof,AMO,146,0,18.39,18.83,17.08,15.85,2.2,13.69,13.66,12.16,9.97,0.35,13.69,gmv
gofe,gof,DAN,357,0,18.04,18.37,16.63,16.69,2.53,13.02,12.73,11.27,9.56,0.3,13.02,gmv
gofe,gof,DEU,957,0,19.77,20.29,18.39,17.5,2.61,13.22,12.99,11.53,9.21,0.38,13.22,gmv
gofe,gof,ECC,222,0,16.45,16.96,15.41,15.14,2.21,13.52,13.25,11.76,11.71,0.39,13.52,gmv
gofe,gof,EST,167,0,16.65,16.72,15.04,14.31,2.01,13.22,12.91,11.5,11.0,0.56,13.22,gmv
gofe,gof,EXO,1208,0,20.54,21.18,19.31,19.46,3.58,15.03,15.04,13.5,12.17,1.02,15.03,gmv
gofe,gof,EZK,1268,0,19.1,19.8,18.0,16.7,2.66,15.11,15.32,13.74,11.98,0.77,15.11,gmv
