translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,1CH,942,0,34.02,33.18,29.73,8.05,3.26,21.27,20.74,18.16,2.28,0.18,22.3,nya
nde,nde,1KI,816,0,34.87,33.52,30.02,9.06,3.79,19.71,18.76,16.42,1.97,0.34,21.42,nya
nde,nde,1PE,105,0,43.83,42.98,39.31,12.95,8.96,17.34,17.11,15.0,0.92,0.45,20.42,nya
nde,nde,1SA,810,0,36.63,35.71,32.34,11.97,6.19,19.49,18.74,16.4,2.56,0.41,21.5,nya
nde,nde,2CH,822,0,35.92,34.37,30.79,8.53,3.86,19.81,18.66,16.33,1.45,0.22,21.6,nya
nde,nde,2KI,719,0,35.32,34.06,30.57,9.56,4.3,20.48,19.48,17.05,2.29,0.53,22.01,nya
nde,nde,2PE,61,0,43.48,42.53,39.08,14.26,11.31,18.44,17.81,15.6,0.68,0.42,20.79,nya
nde,nde,2SA,695,0,35.78,34.82,31.45,10.67,5.77,20.43,19.56,17.12,2.84,0.36,22.14,nya
nde,nde,AMO,146,0,34.52,33.47,30.15,9.51,5.31,18.55,17.96,15.72,1.89,0.89,20.75,nya
nde,nde,DAN,357,0,33.1,32.07,28.77,6.18,3.43,19.18,18.53,16.22,1.02,0.35,20.9,nya
nde,nde,DEU,959,0,34.79,33.68,30.24,6.6,3.3,17.29,16.61,14.53,0.8,0.06,19.54,nya
nde,nde,ECC,222,0,34.58,33.58,30.14,5.41,2.86,17.29,16.93,14.81,0.45,0.16,19.22,nya
nde,nde,EST,167,0,30.54,29.36,26.19,4.99,1.27,19.47,18.5,16.18,1.06,0.27,21.09,nya
nde,nde,EXO,1213,0,34.79,33.48,30.06,9.28,4.1,17.93,17.12,14.98,1.34,0.26,19.39,nya
nde,nde,EZK,1273,0,33.68,32.59,29.27,7.06,3.59,18.36,17.75,15.54,1.16,0.31,19.79,nya
nde,nde,EZR,280,0,37.38,36.0,32.31,8.74,4.81,20.66,19.84,17.37,1.76,0.19,21.6,nya
nde,nde,GEN,1533,0,37.54,36.55,33.03,13.15,6.01,19.84,19.15,16.76,2.26,0.31,20.51,nya
nde,nde,HAB,56,0,32.51,31.77,28.58,5.51,3.2,18.14,17.94,15.7,0.51,0.33,20.03,nya
nde,nde,HAG,38,0,36.73,35.73,32.12,12.56,6.16,19.83,19.26,16.87,2.71,1.12,20.28,nya
nde,nde,HOS,197,0,35.15,34.29,30.81,7.25,3.36,17.98,17.9,15.67,1.55,0.37,20.8,nya
nde,nde,ISA,1291,0,34.43,33.55,30.18,7.75,4.28,17.99,17.77,15.55,1.16,0.22,20.35,nya
nde,nde,JAS,108,0,41.64,41.07,37.63,14.32,9.61,17.18,17.03,14.9,0.89,0.28,19.08,nya
nde,nde,JDG,618,0,35.52,34.4,30.89,9.51,4.4,20.2,19.42,16.99,3.29,0.35,21.85,nya
nde,nde,JER,1364,0,35.29,34.3,30.87,8.72,4.9,19.34,18.7,16.37,1.89,0.32,21.05,nya
nde,nde,JOB,1070,0,32.94,32.41,29.24,5.52,3.87,16.46,16.44,14.39,0.59,0.1,18.64,nya
nde,nde,JOL,73,0,35.09,34.11,30.78,7.89,5.61,17.55,17.47,15.29,0.69,0.39,20.53,nya
nde,nde,JON,48,0,36.51,35.43,31.92,10.56,5.27,17.72,17.29,15.13,1.48,0.72,19.68,nya
nde,nde,JOS,658,0,33.5,32.35,28.93,7.7,3.45,20.23,19.49,17.1,2.12,0.24,21.3,nya
nde,nde,LAM,154,0,31.72,31.2,28.03,5.34,3.03,16.9,17.03,14.9,0.48,0.23,19.23,nya
nde,nde,LEV,859,0,32.53,31.31,27.98,7.02,2.8,17.47,16.71,14.62,0.86,0.25,19.23,nya
nde,nde,MAL,55,0,34.49,33.71,30.37,9.21,3.43,17.89,17.41,15.24,1.88,0.77,20.79,nya
nde,nde,MIC,105,0,35.84,34.97,31.49,8.42,3.9,18.17,17.98,15.73,0.77,0.28,20.95,nya
nde,nde,MRK,678,0,56.51,55.69,52.18,34.38,25.15,18.37,17.87,15.64,2.33,0.63,19.79,nya
nde,nde,NAM,47,0,30.34,29.63,26.4,5.39,1.61,17.75,17.8,15.58,0.73,0.43,19.84,nya
nde,nde,NEH,405,0,34.65,33.59,30.1,7.49,3.19,20.74,20.21,17.7,2.03,0.51,22.05,nya
nde,nde,NUM,1288,0,34.51,33.17,29.7,8.78,3.29,19.28,18.46,16.15,1.83,0.24,19.92,nya
nde,nde,OBA,21,0,33.21,32.48,29.52,9.26,4.83,18.04,17.82,15.59,0.94,0.58,21.36,nya
nde,nde,PRO,915,0,32.66,32.19,29.06,5.38,3.67,16.01,16.09,14.08,0.21,0.12,17.8,nya
nde,nde,PSA,2460,0,36.16,35.62,32.24,8.12,5.45,16.06,16.33,14.29,0.57,0.15,18.15,nya
nde,nde,RUT,85,0,33.76,32.71,29.35,8.71,4.19,19.75,19.12,16.73,2.24,0.63,21.87,nya
nde,nde,SNG,117,0,28.76,27.97,24.94,3.82,1.45,18.6,18.49,16.19,1.25,0.2,20.92,nya
nde,nde,ZEC,211,0,36.56,35.4,31.91,11.01,6.4,18.45,17.84,15.61,2.18,0.57,20.72,nya
nde,nde,ZEP,53,0,35.37,34.62,31.05,8.2,3.73,17.45,17.38,15.21,0.99,0.41,20.65,nya
nde,nde,[epistles],274,0,42.96,42.18,38.65,13.8,9.81,17.55,17.26,15.12,0.86,0.3,20.03,nya
nde,nde,[OT],23142,0,34.85,33.83,30.42,8.61,4.31,18.79,18.21,15.94,1.66,0.28,20.44,nya
nya,nya,1CH,942,0,36.35,36.48,33.31,8.78,6.67,27.01,25.5,22.54,3.48,1.6,27.01,sna
nya,nya,1KI,816,0,38.18,37.81,34.57,11.8,8.25,24.48,22.82,20.03,2.24,0.42,24.48,sna
nya,nya,1PE,105,0,46.54,46.26,42.67,16.21,11.63,20.67,19.73,17.32,0.51,0.25,20.67,sna
nya,nya,1SA,810,0,37.48,37.04,33.79,11.64,7.95,24.11,22.4,19.64,2.35,0.32,24.11,sna
nya,nya,2CH,822,0,39.31,39.0,35.7,11.24,8.46,23.93,22.07,19.36,1.42,0.38,23.93,sna
nya,nya,2KI,719,0,38.44,38.17,34.98,12.74,8.56,24.88,23.1,20.27,2.49,0.61,24.88,sna
nya,nya,2PE,61,0,46.35,46.09,42.6,16.19,14.06,21.76,20.43,17.93,0.95,0.5,21.76,sna
nya,nya,2SA,695,0,39.38,39.2,35.95,13.21,9.27,25.03,23.34,20.49,3.0,0.39,25.03,sna
nya,nya,AMO,146,0,37.79,37.41,34.08,11.84,7.45,22.76,21.43,18.8,1.99,0.48,22.76,sna
nya,nya,DAN,357,0,36.61,36.24,32.92,9.25,6.55,22.6,21.27,18.65,1.42,0.22,22.6,sna
nya,nya,DEU,959,0,39.17,38.86,35.43,10.22,7.37,22.88,21.37,18.74,1.41,0.61,22.88,sna
nya,nya,ECC,222,0,36.43,36.1,32.81,7.82,6.78,20.86,19.95,17.48,0.83,0.16,20.86,sna
nya,nya,EST,167,0,33.73,33.18,29.94,7.02,4.33,23.93,22.17,19.46,1.51,0.36,23.93,sna
nya,nya,EXO,1213,0,37.82,37.49,34.28,12.1,8.82,22.15,20.66,18.12,1.63,0.28,22.15,sna
nya,nya,EZK,1273,0,35.3,34.75,31.5,8.38,5.83,22.01,20.54,18.02,1.84,0.35,22.01,sna
nya,nya,EZR,280,0,35.22,34.93,31.84,7.67,6.54,23.75,22.09,19.36,1.22,0.25,23.75,sna
nya,nya,GEN,1533,0,39.75,39.48,36.17,13.4,9.45,24.45,22.95,20.19,2.83,1.05,24.45,sna
nya,nya,HAB,56,0,35.34,34.93,31.47,7.81,4.74,21.2,20.4,17.88,0.88,0.56,21.2,sna
nya,nya,HAG,38,0,38.3,37.91,34.57,14.72,9.54,25.01,23.72,20.86,3.75,1.12,25.01,sna
nya,nya,HOS,197,0,38.39,38.12,34.73,10.61,7.52,22.14,21.07,18.49,1.28,0.28,22.14,sna
nya,nya,ISA,1291,0,36.04,35.6,32.33,8.96,6.25,21.29,20.22,17.73,1.18,0.19,21.29,sna
nya,nya,JAS,108,0,45.64,45.41,41.94,16.81,13.49,20.09,19.21,16.82,1.08,0.36,20.09,sna
nya,nya,JDG,618,0,35.48,35.03,31.84,10.21,6.35,23.37,21.69,19.01,2.17,0.32,23.37,sna
nya,nya,JER,1364,0,36.73,36.35,33.1,10.54,7.1,22.98,21.43,18.78,1.98,0.33,22.98,sna
nya,nya,JOB,1070,0,34.63,34.41,31.25,8.53,5.39,19.73,18.97,16.64,1.03,0.17,19.73,sna
nya,nya,JOL,73,0,37.16,36.9,33.64,10.09,7.73,21.57,20.61,18.06,0.97,0.36,21.57,sna
nya,nya,JON,48,0,39.81,39.41,36.12,13.56,9.06,22.31,21.26,18.72,2.67,0.87,22.31,sna
nya,nya,JOS,658,0,35.32,35.03,31.79,9.06,5.98,23.15,21.5,18.91,2.45,1.01,23.15,sna
nya,nya,LAM,154,0,35.66,35.53,32.3,8.9,5.8,21.15,20.28,17.78,0.93,0.22,21.15,sna
nya,nya,LEV,859,0,34.1,33.71,30.61,9.24,6.16,20.93,19.55,17.13,2.61,0.23,20.93,sna
