translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,1PE,105,0,52.73,51.61,47.64,22.31,15.27,17.34,17.11,15.0,0.92,0.45,20.42,nya
nde,nde,2PE,61,0,51.36,50.21,46.32,21.25,15.01,18.44,17.81,15.6,0.68,0.42,20.79,nya
nde,nde,GEN,250,0,57.82,56.77,52.96,35.92,21.15,20.05,19.35,16.94,2.44,0.32,20.42,nya
nde,nde,JAS,108,0,50.73,49.87,45.82,21.14,12.73,17.18,17.03,14.9,0.89,0.28,19.08,nya
nde,nde,MRK,678,0,59.77,58.84,55.16,36.17,25.72,18.37,17.87,15.64,2.33,0.63,19.79,nya
nde,nde,[epistles],274,0,51.67,50.64,46.66,21.62,14.4,17.55,17.26,15.12,0.86,0.3,20.03,nya
nya,nya,1PE,105,0,51.84,51.89,48.63,23.98,19.01,20.67,19.73,17.32,0.51,0.25,20.67,sna
nya,nya,2PE,61,0,50.76,50.37,46.78,20.33,17.34,21.76,20.43,17.93,0.95,0.5,21.76,sna
nya,nya,GEN,250,0,54.29,54.25,51.19,30.19,24.06,24.7,23.18,20.4,3.16,1.44,24.7,sna
nya,nya,JAS,108,0,51.32,51.23,47.7,22.32,16.97,20.09,19.21,16.82,1.08,0.36,20.09,sna
nya,nya,MRK,678,0,62.59,62.29,59.07,38.83,31.04,22.68,21.65,19.01,3.02,0.57,22.68,sna
nya,nya,[epistles],274,0,51.38,51.28,47.84,22.48,17.88,20.73,19.71,17.29,0.86,0.29,20.73,sna
