translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nit,nit,1PE,105,0,28.71,28.23,25.28,14.66,2.81,16.56,16.2,14.27,1.38,0.81,16.56,tel
nit,nit,2PE,60,0,26.89,26.51,23.77,11.61,2.91,18.01,17.69,15.63,1.64,0.5,18.01,tel
nit,nit,JAS,108,0,28.23,27.94,25.1,14.39,1.93,18.19,18.01,15.89,2.09,0.83,18.19,tel
nit,nit,MRK,672,0,28.99,28.07,25.0,15.44,1.41,14.59,13.85,12.13,0.9,0.08,14.59,tel
nit,nit,[epistles],273,0,28.11,27.72,24.86,13.88,2.62,17.48,17.2,15.17,1.69,0.75,17.48,tel
vgr,vgr,1PE,105,0,23.16,22.11,19.54,8.0,1.22,19.01,18.08,15.93,2.23,1.05,19.01,tel
vgr,vgr,2PE,61,0,19.38,18.5,16.31,5.31,0.36,18.13,17.12,15.0,1.65,0.29,18.13,tel
vgr,vgr,JAS,108,0,22.83,21.97,19.32,7.63,0.59,17.82,17.06,14.97,1.69,0.2,17.82,tel
vgr,vgr,MRK,678,0,25.84,25.09,22.34,12.78,1.75,15.67,15.07,13.22,2.0,0.36,15.67,tel
vgr,vgr,[epistles],274,0,22.1,21.17,18.66,7.22,0.8,18.36,17.47,15.35,1.92,0.58,18.36,tel
