book,verses_syn,copy,ms8,base,verses_nllb,nllb,run,target,score_src,delta,verdict
1CH,942,12.21,27.26,23.22,942,41.09,arabic_drafting_urd,urdoucv,store,-13.83,lose
1KI,816,13.01,28.46,25.12,816,41.65,arabic_drafting_urd,urdoucv,store,-13.19,lose
1PE,105,12.32,34.18,31.71,105,50.5,arabic_drafting_urd,urdoucv,store,-16.32,lose
1SA,810,13.07,30.1,26.9,809,41.6,arabic_drafting_urd,urdoucv,store,-11.5,lose
2CH,822,13.4,29.26,25.3,822,42.2,arabic_drafting_urd,urdoucv,store,-12.94,lose
2KI,719,12.79,28.24,23.7,719,40.14,arabic_drafting_urd,urdoucv,store,-11.9,lose
2PE,61,12.26,33.21,29.74,61,48.82,arabic_drafting_urd,urdoucv,store,-15.61,lose
2SA,695,13.61,31.16,26.91,694,43.2,arabic_drafting_urd,urdoucv,store,-12.04,lose
AMO,146,12.49,28.63,25.74,146,41.32,arabic_drafting_urd,urdoucv,store,-12.69,lose
DAN,357,13.34,29.5,25.97,356,40.02,arabic_drafting_urd,urdoucv,store,-10.52,lose
DEU,959,11.97,28.76,26.46,959,42.14,arabic_drafting_urd,urdoucv,store,-13.38,lose
ECC,222,12.11,28.02,24.45,222,38.46,arabic_drafting_urd,urdoucv,store,-10.44,lose
EST,167,13.63,27.87,25.17,167,38.11,arabic_drafting_urd,urdoucv,store,-10.24,lose
EXO,1213,11.92,29.11,25.74,1213,42.42,arabic_drafting_urd,urdoucv,store,-13.31,lose
EZK,1273,12.53,29.16,25.05,1271,42.1,arabic_drafting_urd,urdoucv,store,-12.94,lose
EZR,280,14.92,29.82,25.65,280,42.2,arabic_drafting_urd,urdoucv,store,-12.38,lose
GEN,1533,11.95,31.48,28.53,1531,46.21,arabic_drafting_urd,urdoucv,store,-14.73,lose
HAB,56,11.84,25.83,24.93,56,38.89,arabic_drafting_urd,urdoucv,store,-13.06,lose
HAG,38,12.25,28.63,25.05,38,42.51,arabic_drafting_urd,urdoucv,store,-13.88,lose
HOS,197,12.49,30.13,27.68,197,41.59,arabic_drafting_urd,urdoucv,store,-11.46,lose
ISA,1291,12.14,28.6,26.58,1290,40.15,arabic_drafting_urd,urdoucv,store,-11.55,lose
JAS,108,12.42,35.69,33.63,108,53.79,arabic_drafting_urd,urdoucv,store,-18.1,lose
JDG,618,13.48,30.29,26.65,618,43.4,arabic_drafting_urd,urdoucv,store,-13.11,lose
JER,1364,12.85,29.09,25.67,1364,41.17,arabic_drafting_urd,urdoucv,store,-12.08,lose
JOB,1070,11.0,27.04,24.8,1068,36.91,arabic_drafting_urd,urdoucv,store,-9.87,lose
