book,trg_iso,verses_nllb,nllb
GEN,ckb,1531,48.44
EXO,ckb,1213,49.18
LEV,ckb,859,46.13
NUM,ckb,1288,47.86
DEU,ckb,959,48.12
JOS,ckb,658,50.49
JDG,ckb,618,47.48
RUT,ckb,85,44.09
1SA,ckb,809,49.01
2SA,ckb,694,47.37
1KI,ckb,816,49.43
2KI,ckb,719,50.1
1CH,ckb,942,46.65
2CH,ckb,822,51.11
EZR,ckb,280,49.29
NEH,ckb,405,47.11
EST,ckb,167,43.45
JOB,ckb,1068,38.21
PSA,ckb,2458,45.93
PRO,ckb,915,44.83
ECC,ckb,222,41.13
SNG,ckb,117,38.31
ISA,ckb,1290,45.36
JER,ckb,1364,48.93
LAM,ckb,154,42.22
EZK,ckb,1271,45.83
DAN,ckb,356,44.32
HOS,ckb,197,44.56
JOL,ckb,73,49.21
AMO,ckb,146,47.12
OBA,ckb,21,41.1
JON,ckb,48,47.07
MIC,ckb,105,45.08
NAM,ckb,47,40.7
HAB,ckb,56,42.74
ZEP,ckb,53,48.35
HAG,ckb,38,49.53
ZEC,ckb,211,50.27
MAL,ckb,55,47.97
MRK,ckb,678,70.07
JAS,ckb,108,55.13
1PE,ckb,105,54.87
2PE,ckb,61,52.28
ALL,ckb,24082,47.87
