book,trg_iso,verses_nllb,nllb
ALL,urd,24082,42.03
GEN,urd,1531,46.21
EXO,urd,1213,42.42
LEV,urd,859,40.55
NUM,urd,1288,41.16
DEU,urd,959,42.14
JOS,urd,658,42.86
JDG,urd,618,43.4
RUT,urd,85,39.61
1SA,urd,809,41.6
2SA,urd,694,43.2
1KI,urd,816,41.65
2KI,urd,719,40.14
1CH,urd,942,41.09
2CH,urd,822,42.2
EZR,urd,280,42.2
NEH,urd,405,41.88
EST,urd,167,38.11
JOB,urd,1068,36.91
PSA,urd,2458,39.45
PRO,urd,915,38.87
ECC,urd,222,38.46
SNG,urd,117,37.75
ISA,urd,1290,40.15
JER,urd,1364,41.17
LAM,urd,154,40.27
EZK,urd,1271,42.1
DAN,urd,356,40.02
HOS,urd,197,41.59
JOL,urd,73,44.01
AMO,urd,146,41.32
OBA,urd,21,36.18
JON,urd,48,41.5
MIC,urd,105,42.49
NAM,urd,47,36.62
HAB,urd,56,38.89
ZEP,urd,53,38.25
HAG,urd,38,42.51
ZEC,urd,211,42.71
MAL,urd,55,37.49
MRK,urd,678,62.52
JAS,urd,108,53.79
1PE,urd,105,50.5
2PE,urd,61,48.82
