book,trg_iso,verses_nllb,nllb
ALL,hne,24094,47.82
GEN,hne,1533,52.04
EXO,hne,1213,47.25
LEV,hne,859,44.26
NUM,hne,1288,46.85
DEU,hne,959,47.3
JOS,hne,658,49.49
JDG,hne,618,49.76
RUT,hne,85,49.53
1SA,hne,810,52.55
2SA,hne,695,49.58
1KI,hne,816,50.81
2KI,hne,719,51.09
1CH,hne,942,50.52
2CH,hne,822,49.48
EZR,hne,280,48.81
NEH,hne,405,49.4
EST,hne,167,44.95
JOB,hne,1070,40.06
PSA,hne,2460,45.31
PRO,hne,915,42.17
ECC,hne,222,39.84
SNG,hne,117,45.99
ISA,hne,1291,43.73
JER,hne,1364,47.45
LAM,hne,154,43.08
EZK,hne,1273,44.46
DAN,hne,357,45.17
HOS,hne,197,43.89
JOL,hne,73,44.56
AMO,hne,146,45.69
OBA,hne,21,43.44
JON,hne,48,45.35
MIC,hne,105,43.02
NAM,hne,47,37.23
HAB,hne,56,39.51
ZEP,hne,53,42.37
HAG,hne,38,49.38
ZEC,hne,211,48.54
MAL,hne,55,49.78
MRK,hne,678,68.12
JAS,hne,108,54.61
1PE,hne,105,53.04
2PE,hne,61,52.99
