book,trg_iso,verses_nllb,nllb
ALL,mar,24085,41.78
GEN,mar,1532,45.67
EXO,mar,1213,44.08
LEV,mar,859,43.03
NUM,mar,1288,40.5
DEU,mar,959,37.91
JOS,mar,658,46.5
JDG,mar,618,44.59
RUT,mar,85,44.28
1SA,mar,810,48.17
2SA,mar,695,36.32
1KI,mar,816,37.33
2KI,mar,719,42.33
1CH,mar,942,41.73
2CH,mar,822,38.57
EZR,mar,280,43.75
NEH,mar,405,38.63
EST,mar,167,39.75
JOB,mar,1070,30.74
PSA,mar,2460,43.78
PRO,mar,915,37.95
ECC,mar,222,34.99
SNG,mar,117,38.03
ISA,mar,1291,40.49
JER,mar,1364,42.46
LAM,mar,154,39.67
EZK,mar,1273,39.96
DAN,mar,356,40.6
HOS,mar,197,42.55
JOL,mar,73,42.58
AMO,mar,146,43.42
OBA,mar,21,46.96
JON,mar,48,45.56
MIC,mar,105,42.01
NAM,mar,47,35.09
HAB,mar,56,36.75
ZEP,mar,53,44.35
HAG,mar,38,45.54
ZEC,mar,211,40.53
MAL,mar,55,44.7
MRK,mar,673,55.66
JAS,mar,108,48.39
1PE,mar,103,51.18
2PE,mar,61,47.91
