book,trg_iso,verses_nllb,nllb
ALL,gmv,23923,33.22
GEN,gmv,1510,42.19
EXO,gmv,1208,34.74
LEV,gmv,854,26.75
NUM,gmv,1207,26.87
DEU,gmv,957,30.25
JOS,gmv,656,32.54
JDG,gmv,617,38.08
RUT,gmv,85,36.01
1SA,gmv,810,31.63
2SA,gmv,694,29.47
1KI,gmv,816,38.21
2KI,gmv,719,30.55
1CH,gmv,938,31.29
2CH,gmv,821,39.16
EZR,gmv,271,26.41
NEH,gmv,399,26.45
EST,gmv,167,29.16
JOB,gmv,1066,26.23
PSA,gmv,2456,37.79
PRO,gmv,914,33.98
ECC,gmv,222,30.61
SNG,gmv,117,33.85
ISA,gmv,1291,32.83
JER,gmv,1363,34.55
LAM,gmv,154,29.75
EZK,gmv,1268,32.27
DAN,gmv,357,31.26
HOS,gmv,197,31.39
JOL,gmv,72,29.64
AMO,gmv,146,30.63
OBA,gmv,21,25.64
JON,gmv,48,39.05
MIC,gmv,105,27.5
NAM,gmv,47,26.44
HAB,gmv,56,25.18
ZEP,gmv,53,31.05
HAG,gmv,38,34.85
ZEC,gmv,211,33.91
MAL,gmv,55,34.83
MRK,gmv,669,39.93
JAS,gmv,104,33.8
1PE,gmv,103,33.31
2PE,gmv,61,28.5
