book,trg_iso,verses_nllb,nllb
ALL,gof,23923,36.39
GEN,gof,1510,44.89
EXO,gof,1208,39.06
LEV,gof,854,28.98
NUM,gof,1207,31.59
DEU,gof,957,33.92
JOS,gof,656,35.7
JDG,gof,617,42.97
RUT,gof,85,37.5
1SA,gof,810,34.99
2SA,gof,694,32.19
1KI,gof,816,42.36
2KI,gof,719,32.42
1CH,gof,938,35.99
2CH,gof,821,43.9
EZR,gof,271,29.53
NEH,gof,399,28.6
EST,gof,167,31.01
JOB,gof,1066,29.89
PSA,gof,2456,42.2
PRO,gof,914,36.12
ECC,gof,222,32.19
SNG,gof,117,34.64
ISA,gof,1291,34.77
JER,gof,1363,36.91
LAM,gof,154,31.07
EZK,gof,1268,35.4
DAN,gof,357,34.03
HOS,gof,197,33.44
JOL,gof,72,30.27
AMO,gof,146,32.96
OBA,gof,21,25.34
JON,gof,48,42.2
MIC,gof,105,26.09
NAM,gof,47,26.3
HAB,gof,56,24.55
ZEP,gof,53,31.56
HAG,gof,38,35.9
ZEC,gof,211,37.81
MAL,gof,55,34.65
MRK,gof,669,39.98
JAS,gof,104,34.55
1PE,gof,103,34.97
2PE,gof,61,31.71
