book,trg_iso,verses_nllb,nllb
ALL,nde,24094,58.23
GEN,nde,1533,62.27
EXO,nde,1213,55.62
LEV,nde,859,53.32
NUM,nde,1288,56.51
DEU,nde,959,54.42
JOS,nde,658,57.44
JDG,nde,618,61.01
RUT,nde,85,58.69
1SA,nde,810,60.3
2SA,nde,695,60.84
1KI,nde,816,56.96
2KI,nde,719,59.57
1CH,nde,942,59.72
2CH,nde,822,59.87
EZR,nde,280,63.86
NEH,nde,405,60.79
EST,nde,167,53.69
JOB,nde,1070,50.9
PSA,nde,2460,56.94
PRO,nde,915,51.63
ECC,nde,222,54.81
SNG,nde,117,50.99
ISA,nde,1291,57.22
JER,nde,1364,60.71
LAM,nde,154,51.01
EZK,nde,1273,58.32
DAN,nde,357,57.9
HOS,nde,197,59.66
JOL,nde,73,59.88
AMO,nde,146,56.45
OBA,nde,21,57.65
JON,nde,48,56.03
MIC,nde,105,59.82
NAM,nde,47,55.54
HAB,nde,56,51.25
ZEP,nde,53,59.66
HAG,nde,38,67.2
ZEC,nde,211,58.77
MAL,nde,55,56.09
MRK,nde,678,70.3
JAS,nde,108,64.39
1PE,nde,105,65.82
2PE,nde,61,62.03
