book,trg_iso,verses_nllb,nllb
ALL,nya,24094,57.73
GEN,nya,1533,59.48
EXO,nya,1213,56.63
LEV,nya,859,53.01
NUM,nya,1288,58.32
DEU,nya,959,60.87
JOS,nya,658,56.93
JDG,nya,618,54.89
RUT,nya,85,55.48
1SA,nya,810,57.87
2SA,nya,695,61.42
1KI,nya,816,60.48
2KI,nya,719,61.62
1CH,nya,942,61.72
2CH,nya,822,63.31
EZR,nya,280,54.92
NEH,nya,405,55.42
EST,nya,167,54.89
JOB,nya,1070,49.6
PSA,nya,2460,60.52
PRO,nya,915,49.27
ECC,nya,222,54.6
SNG,nya,117,52.45
ISA,nya,1291,52.85
JER,nya,1364,57.05
LAM,nya,154,57.38
EZK,nya,1273,52.71
DAN,nya,357,57.3
HOS,nya,197,58.39
JOL,nya,73,60.56
AMO,nya,146,58.77
OBA,nya,21,56.97
JON,nya,48,59.47
MIC,nya,105,59.16
NAM,nya,47,52.9
HAB,nya,56,53.33
ZEP,nya,53,61.49
HAG,nya,38,65.55
ZEC,nya,211,64.19
MAL,nya,55,62.75
MRK,nya,678,69.86
JAS,nya,108,60.04
1PE,nya,105,62.43
2PE,nya,61,62.14
