pool,candidate,other,other_is_target,n,ibm1_align,eflomal
arabic,arb-vd,arbnav,False,3000,-3.134,0.3279
arabic,arb-vd,ckb,True,3000,-3.44,0.5378
arabic,arb-vd,pesOPV,False,3000,-3.596,0.5038
arabic,arb-vd,sanurd,False,3000,-3.349,0.7938
arabic,arb-vd,urdoucv,True,3000,-3.989,0.5537
arabic,arbnav,arb-vd,False,3000,-3.134,0.3246
arabic,arbnav,ckb,True,3000,-3.475,0.5471
arabic,arbnav,pesOPV,False,3000,-3.646,0.5362
arabic,arbnav,sanurd,False,3000,-3.356,0.7915
arabic,arbnav,urdoucv,True,3000,-4.028,0.5493
arabic,pesOPV,arb-vd,False,3000,-3.596,0.5077
arabic,pesOPV,arbnav,False,3000,-3.646,0.5376
arabic,pesOPV,ckb,True,3000,-3.631,0.399
arabic,pesOPV,sanurd,False,3000,-3.647,0.6667
arabic,pesOPV,urdoucv,True,3000,-3.973,0.3538
devanagari,hin2017,goj,False,3000,-3.699,inf
devanagari,hin2017,gok,False,3000,-4.065,0.4405
devanagari,hin2017,hlb,False,3000,-3.79,0.071
devanagari,hin2017,hne,True,3000,-3.872,0.1792
devanagari,hin2017,mar,True,3000,-3.989,0.3366
devanagari,hin2017,sandev,False,3000,-3.885,0.5967
devanagari,hin2017,thr,False,3000,-3.856,0.1776
ethiopic,gmve,gofe,True,3000,-3.509,inf
ethiopic,gmve,gyl,False,3000,-3.626,inf
ethiopic,gmve,jnje,False,3000,-3.63,0.5103
ethiopic,gmve,oyde,False,3000,-3.57,0.4233
ethiopic,gofe,gmve,True,3000,-3.509,0.4133
ethiopic,gofe,gyl,False,3000,-3.556,0.4399
ethiopic,gofe,jnje,False,3000,-3.539,0.4642
ethiopic,gofe,oyde,False,3000,-3.096,-0.0512
latin-bantu,kik,lin,False,3000,-3.823,0.3173
latin-bantu,kik,lug,False,3000,-3.558,inf
latin-bantu,kik,nde,True,3000,-3.454,0.4652
latin-bantu,kik,nya,True,3000,-3.543,0.3431
latin-bantu,kik,sna,False,3000,-3.49,0.4014
latin-bantu,kik,swhonen,False,3000,-3.554,0.3278
latin-bantu,lin,kik,False,3000,-3.823,0.3163
latin-bantu,lin,lug,False,3000,-3.835,0.3941
latin-bantu,lin,nde,True,3000,-3.849,0.4775
latin-bantu,lin,nya,True,3000,-3.803,0.3309
latin-bantu,lin,sna,False,3000,-3.853,0.4189
latin-bantu,lin,swhonen,False,3000,-3.836,0.3208
latin-bantu,lug,kik,False,3000,-3.558,0.4245
latin-bantu,lug,lin,False,3000,-3.835,0.403
latin-bantu,lug,nde,True,3000,-3.382,0.5602
latin-bantu,lug,nya,True,3000,-3.519,inf
latin-bantu,lug,sna,False,3000,-3.437,0.4979
latin-bantu,lug,swhonen,False,3000,-3.547,0.4423
latin-bantu,sna,kik,False,3000,-3.49,0.4057
latin-bantu,sna,lin,False,3000,-3.853,0.4193
latin-bantu,sna,lug,False,3000,-3.437,0.5002
latin-bantu,sna,nde,True,3000,-3.208,0.412
latin-bantu,sna,nya,True,3000,-3.408,0.3755
latin-bantu,sna,swhonen,False,3000,-3.473,0.4098
latin-bantu,swhonen,kik,False,3000,-3.554,0.3258
latin-bantu,swhonen,lin,False,3000,-3.836,0.3206
latin-bantu,swhonen,lug,False,3000,-3.547,0.438
latin-bantu,swhonen,nde,True,3000,-3.442,0.4811
latin-bantu,swhonen,nya,True,3000,-3.527,0.3436
latin-bantu,swhonen,sna,False,3000,-3.473,0.4026
telugu,tel2017,nit,True,3000,-3.636,0.5419
telugu,tel2017,santel,False,3000,-3.466,0.7327
telugu,tel2017,vgr,True,3000,-3.511,0.5752
