translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,1CH,942,0,19.42,19.53,17.51,2.58,1.96,12.44,12.47,10.94,0.95,0.13,13.24,urd
ckb,ckb,1KI,816,0,26.19,25.99,23.47,6.53,3.85,14.83,14.18,12.44,1.18,0.12,14.83,pes
ckb,ckb,1PE,105,0,36.65,36.13,32.79,14.51,6.61,12.65,11.71,10.25,0.11,0.06,12.65,pes
ckb,ckb,1SA,809,0,27.82,27.6,24.92,7.83,3.74,15.28,14.85,13.04,1.83,0.15,15.28,pes
ckb,ckb,2CH,822,0,26.4,26.13,23.53,6.24,3.08,15.36,14.72,12.93,0.79,0.15,15.36,pes
ckb,ckb,2KI,719,0,25.37,25.12,22.66,6.45,3.39,14.77,14.1,12.37,1.19,0.12,14.77,pes
ckb,ckb,2PE,61,0,34.21,33.59,30.31,11.59,5.55,12.54,11.73,10.26,0.35,0.18,12.54,pes
ckb,ckb,2SA,694,0,26.05,25.93,23.43,7.36,3.45,14.97,14.41,12.65,1.53,0.15,14.97,pes
ckb,ckb,AMO,146,0,24.51,24.1,21.62,5.2,2.35,13.46,12.75,11.17,0.48,0.14,13.46,pes
ckb,ckb,DAN,356,0,25.92,25.63,22.99,6.5,2.68,13.97,13.58,11.91,0.87,0.2,13.97,pes
ckb,ckb,DEU,959,0,26.89,26.42,23.68,6.12,2.63,13.23,12.75,11.17,0.35,0.11,13.23,pes
ckb,ckb,ECC,222,0,27.2,26.84,24.04,5.84,2.99,12.65,12.11,10.61,0.07,0.07,12.65,pes
ckb,ckb,EST,167,0,24.72,24.37,21.76,4.43,1.88,14.68,14.03,12.33,1.23,0.35,14.68,pes
ckb,ckb,EXO,1213,0,26.33,26.15,23.63,6.63,4.03,13.57,13.3,11.68,0.98,0.32,13.57,pes
ckb,ckb,EZK,1271,0,22.64,22.33,19.98,3.92,2.21,13.3,12.95,11.35,0.4,0.17,13.3,pes
ckb,ckb,EZR,280,0,24.64,24.5,22.09,4.74,3.38,16.43,15.84,13.96,1.25,0.39,16.43,pes
ckb,ckb,GEN,1531,0,27.83,27.73,25.11,8.58,4.54,14.18,13.91,12.23,1.82,0.45,14.18,pes
ckb,ckb,HAB,56,0,27.43,26.98,24.31,6.68,2.73,12.79,12.27,10.74,0.13,0.09,12.79,pes
ckb,ckb,HAG,38,0,22.73,22.39,19.95,3.56,1.63,13.91,13.59,11.98,0.4,0.31,13.91,pes
ckb,ckb,HOS,197,0,27.04,26.67,23.91,6.86,2.82,14.06,13.53,11.84,0.3,0.11,14.06,pes
ckb,ckb,ISA,1290,0,26.57,26.1,23.34,5.88,2.14,13.27,12.81,11.22,0.32,0.06,13.27,pes
ckb,ckb,JAS,108,0,35.04,34.52,31.21,12.76,5.84,12.6,12.17,10.66,0.36,0.15,12.6,pes
ckb,ckb,JDG,618,0,27.17,27.0,24.38,7.74,3.84,14.85,14.26,12.51,1.27,0.13,14.85,pes
ckb,ckb,JER,1364,0,24.97,24.58,22.04,5.37,2.55,14.27,13.62,11.94,0.57,0.09,14.27,pes
ckb,ckb,JOB,1068,0,25.05,24.69,22.07,5.06,2.26,11.87,11.54,10.11,0.37,0.09,11.87,pes
ckb,ckb,JOL,73,0,28.7,28.21,25.46,7.69,4.57,12.67,12.38,10.84,0.33,0.15,12.67,pes
ckb,ckb,JON,48,0,27.57,27.1,24.43,8.8,4.6,13.85,13.43,11.78,1.84,0.34,13.85,pes
