translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,1PE,105,0,39.69,39.27,35.92,17.7,8.03,12.65,11.71,10.25,0.11,0.06,12.65,pes
ckb,ckb,2PE,61,0,38.19,37.54,34.13,15.56,6.86,12.54,11.73,10.26,0.35,0.18,12.54,pes
ckb,ckb,GEN,250,0,48.04,47.71,44.49,30.82,18.55,14.37,14.13,12.45,2.13,0.73,14.37,pes
ckb,ckb,JAS,108,0,38.49,38.08,34.76,16.2,8.15,12.6,12.17,10.66,0.36,0.15,12.6,pes
ckb,ckb,MRK,678,0,53.21,52.68,49.67,38.38,25.29,13.19,12.63,11.06,1.17,0.1,13.19,pes
ckb,ckb,[epistles],274,0,38.88,38.41,35.06,16.67,7.84,12.6,11.89,10.4,0.24,0.08,12.6,pes
urdoucv,urd,1PE,105,0,35.14,35.67,33.02,26.06,10.07,12.32,10.98,9.61,0.14,0.03,12.32,pes
urdoucv,urd,2PE,61,0,34.95,35.6,32.87,25.6,9.45,12.26,10.88,9.53,0.29,0.13,12.26,pes
urdoucv,urd,GEN,250,0,45.76,46.3,43.76,39.38,20.37,11.85,10.6,9.28,0.26,0.07,11.85,pes
urdoucv,urd,JAS,108,0,36.37,36.85,34.06,26.14,10.38,12.42,11.22,9.82,0.12,0.07,12.42,pes
urdoucv,urd,MRK,678,0,45.73,46.12,43.65,38.9,22.05,11.17,9.95,8.71,0.16,0.02,11.48,san
urdoucv,urd,[epistles],274,0,35.53,36.07,33.36,26.17,10.03,12.34,11.04,9.67,0.17,0.06,12.34,pes
