translation,book,verses,chrF3,copy_chrF3,other_chrF3,other_lang,truncated
hne,1CH,942,30.47,26.67,26.67,hin,0
hne,1KI,816,34.46,23.54,23.54,hin,0
hne,1PE,105,42.43,21.58,21.58,hin,0
hne,1SA,810,36.5,23.05,23.05,hin,0
hne,2CH,822,33.72,22.99,22.99,hin,0
hne,2KI,719,34.16,23.83,23.83,hin,0
hne,2PE,61,41.52,19.22,20.86,thr,0
hne,2SA,695,33.85,23.53,23.53,hin,0
hne,AMO,146,31.64,21.07,21.07,hin,0
hne,DAN,357,31.62,20.78,20.78,hin,0
hne,DEU,959,32.99,20.69,20.69,hin,0
hne,ECC,222,31.22,18.15,18.15,hin,0
hne,EST,167,30.03,22.77,22.77,hin,0
hne,EXO,1213,34.27,21.29,21.29,hin,0
hne,EZK,1273,32.4,19.96,19.96,hin,0
hne,EZR,280,32.69,25.86,25.86,hin,0
hne,GEN,1533,39.32,23.53,23.53,hin,0
hne,HAB,56,30.3,19.77,19.77,hin,0
hne,HAG,38,33.08,23.83,23.83,hin,0
hne,HOS,197,33.2,19.46,19.46,hin,0
hne,ISA,1291,32.66,20.95,20.95,hin,0
hne,JAS,108,46.15,20.54,21.12,hlb,0
hne,JDG,618,33.77,23.56,23.56,hin,0
hne,JER,1364,33.85,21.53,21.53,hin,0
hne,JOB,1070,31.57,17.24,17.24,hin,0
hne,JOL,73,32.5,20.7,20.7,hin,0
hne,JON,48,38.3,23.69,23.69,hin,0
hne,JOS,658,33.85,25.52,25.52,hin,0
hne,LAM,154,31.87,17.87,17.87,hin,0
hne,LEV,859,31.96,20.44,20.44,hin,0
hne,MAL,55,35.2,20.7,20.7,hin,0
hne,MIC,105,31.99,20.19,20.19,hin,0
hne,MRK,678,58.02,19.83,20.29,hlb,0
hne,NAM,47,27.67,18.31,18.31,hin,0
hne,NEH,405,32.04,24.14,24.14,hin,0
hne,NUM,1288,31.81,22.48,22.48,hin,0
hne,OBA,21,33.6,23.05,23.05,hin,0
hne,PRO,915,33.03,18.42,18.42,hin,0
hne,PSA,2460,35.01,19.12,19.12,hin,0
hne,RUT,85,36.37,21.56,21.56,hin,0
hne,SNG,117,31.82,19.5,19.5,hin,0
hne,ZEC,211,34.66,20.99,20.99,hin,0
hne,ZEP,53,30.93,19.5,19.5,hin,0
hne,[epistles],274,43.51,20.63,20.65,thr,0
hne,[OT],23142,33.63,21.77,21.77,hin,0
mar,1CH,942,25.54,21.86,21.86,hin,0
mar,1KI,816,25.28,16.94,16.94,hin,0
mar,1PE,103,34.48,17.66,17.66,hin,0
mar,1SA,810,30.12,16.99,16.99,hin,0
mar,2CH,822,25.42,18.18,18.18,hin,0
mar,2KI,719,27.17,17.94,17.94,hin,0
mar,2PE,61,32.98,16.48,16.48,hin,0
mar,2SA,695,25.42,16.61,16.61,hin,0
mar,AMO,146,27.35,17.0,17.0,hin,0
mar,DAN,356,27.63,18.31,18.31,hin,0
mar,DEU,959,25.05,16.8,16.8,hin,0
mar,ECC,222,24.54,14.65,14.65,hin,0
mar,EST,167,25.16,17.91,17.91,hin,0
mar,EXO,1213,28.53,16.41,16.41,hin,0
mar,EZK,1273,27.12,15.98,15.98,hin,0
mar,EZR,280,26.34,20.31,20.31,hin,0
mar,GEN,1532,29.89,16.49,16.49,hin,0
mar,HAB,56,24.76,15.68,15.68,hin,0
mar,HAG,38,27.43,18.01,18.01,hin,0
mar,HOS,197,28.8,16.86,16.86,hin,0
mar,ISA,1291,26.86,16.07,16.07,hin,0
mar,JAS,108,32.89,17.3,17.3,hin,0
mar,JDG,618,28.96,17.33,17.33,hin,0
mar,JER,1364,27.7,16.85,16.85,hin,0
mar,JOB,1070,23.23,13.25,13.25,hin,0
mar,JOL,73,27.85,15.77,15.77,hin,0
mar,JON,48,30.46,17.0,17.0,hin,0
mar,JOS,658,28.83,19.43,19.43,hin,0
mar,LAM,154,27.06,14.74,14.74,hin,0
mar,LEV,859,27.02,16.83,16.83,hin,0
mar,MAL,55,28.73,18.09,18.09,hin,0
mar,MIC,105,28.25,16.68,16.68,hin,0
mar,MRK,673,45.33,14.92,14.92,hin,0
mar,NAM,47,23.06,14.28,14.28,hin,0
mar,NEH,405,24.98,18.81,18.81,hin,0
mar,NUM,1288,25.64,16.59,16.59,hin,0
mar,OBA,21,27.79,16.58,16.58,hin,0
mar,PRO,915,25.0,14.74,14.74,hin,0
mar,PSA,2460,28.95,15.22,15.22,hin,0
mar,RUT,85,29.7,15.57,15.57,hin,0
mar,SNG,117,24.64,13.92,13.92,hin,0
mar,ZEC,211,27.49,15.91,15.91,hin,0
mar,ZEP,53,27.24,16.23,16.23,hin,0
mar,[epistles],272,33.53,17.24,17.24,hin,0
mar,[OT],23140,27.08,16.79,16.79,hin,0
