translation,book,verses,chrF3,copy_chrF3,other_chrF3,other_lang,truncated
hne,1PE,105,44.03,21.58,21.58,hin,0
hne,2PE,61,41.91,19.22,20.86,thr,0
hne,GEN,250,53.41,23.64,23.64,hin,0
hne,JAS,108,48.08,20.54,21.12,hlb,0
hne,MRK,678,58.41,19.83,20.29,hlb,0
hne,[epistles],274,44.93,20.63,20.65,thr,0
mar,1PE,103,36.63,17.66,17.66,hin,0
mar,2PE,61,36.71,16.48,16.48,hin,0
mar,GEN,250,40.94,16.88,16.88,hin,0
mar,JAS,108,35.23,17.3,17.3,hin,0
mar,MRK,673,46.16,14.92,14.92,hin,0
mar,[epistles],272,36.14,17.24,17.24,hin,0
