translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gmve,gmv,1CH,939,0,15.5,15.81,14.32,14.43,2.03,13.28,12.84,11.41,9.77,0.5,13.28,gof
gmve,gmv,1KI,816,0,18.2,18.78,17.0,17.68,2.48,15.27,15.14,13.52,12.54,0.82,15.27,gof
gmve,gmv,1PE,105,0,22.24,22.83,20.89,22.1,4.52,10.6,10.18,9.01,7.09,0.31,10.6,gof
gmve,gmv,1SA,810,0,17.73,18.26,16.52,17.01,2.57,11.89,11.71,10.4,8.25,0.32,11.89,gof
gmve,gmv,2CH,821,0,18.51,18.99,17.22,18.15,2.64,14.89,14.66,13.04,12.02,0.52,14.89,gof
gmve,gmv,2KI,719,0,16.8,17.08,15.39,15.69,1.96,11.88,11.44,10.11,7.6,0.25,11.88,gof
gmve,gmv,2PE,61,0,20.99,21.9,20.18,20.88,4.86,11.31,11.25,10.01,8.04,1.06,11.31,gof
gmve,gmv,2SA,694,0,16.75,17.27,15.61,15.91,2.38,11.45,11.21,9.94,7.7,0.42,11.45,gof
gmve,gmv,AMO,146,0,17.92,18.48,16.71,16.51,1.88,13.11,13.03,11.6,9.94,0.35,13.11,gof
gmve,gmv,DAN,357,0,16.53,16.92,15.32,15.51,2.37,12.1,11.81,10.45,9.47,0.3,12.1,gof
gmve,gmv,DEU,957,0,17.42,18.02,16.3,16.01,2.37,12.1,11.92,10.58,9.13,0.38,12.1,gof
gmve,gmv,ECC,222,0,16.79,17.22,15.65,16.11,2.02,13.38,13.1,11.62,11.71,0.39,13.38,gof
gmve,gmv,EST,167,0,15.39,15.49,13.93,13.49,1.56,13.29,13.0,11.58,11.0,0.56,13.29,gof
gmve,gmv,EXO,1208,0,18.39,18.98,17.26,17.99,2.81,14.0,13.98,12.54,12.08,1.02,14.0,gof
gmve,gmv,EZK,1268,0,17.35,17.97,16.31,15.69,2.44,14.39,14.57,13.06,11.93,0.77,14.39,gof
gmve,gmv,EZR,271,0,15.03,15.22,13.74,14.18,1.81,11.44,10.95,9.7,8.44,0.22,11.44,gof
gmve,gmv,GEN,1511,0,21.23,22.06,20.22,21.84,4.26,14.44,14.6,13.15,12.14,1.42,14.44,gof
gmve,gmv,HAB,56,0,14.53,15.51,14.04,12.92,1.44,11.43,11.22,9.92,8.78,0.48,11.43,gof
gmve,gmv,HAG,38,0,17.18,17.51,15.89,15.44,2.73,15.05,14.98,13.43,13.27,0.82,15.05,gof
gmve,gmv,HOS,197,0,17.51,18.25,16.56,16.03,1.84,12.93,12.88,11.43,9.42,0.44,12.93,gof
gmve,gmv,ISA,1291,0,16.78,17.41,15.75,15.57,2.02,14.81,14.87,13.32,12.81,1.06,14.81,gof
gmve,gmv,JAS,105,0,22.04,22.83,21.13,22.67,5.33,10.78,10.81,9.61,7.88,0.3,10.78,gof
gmve,gmv,JDG,617,0,18.91,19.45,17.7,18.31,3.38,13.33,13.19,11.76,10.3,0.74,13.33,gof
gmve,gmv,JER,1363,0,17.74,18.3,16.58,16.49,2.49,14.3,14.13,12.6,11.67,0.57,14.3,gof
gmve,gmv,JOB,1068,0,15.43,16.26,14.72,14.09,1.96,11.59,11.79,10.51,8.91,0.41,11.59,gof
gmve,gmv,JOL,72,0,17.31,17.76,16.04,16.32,2.6,11.97,11.89,10.61,9.0,0.59,11.97,gof
gmve,gmv,JON,48,0,21.86,22.42,20.52,21.7,3.98,14.66,14.69,13.14,11.82,0.88,14.66,gof
gmve,gmv,JOS,657,0,17.19,17.52,15.8,15.42,1.82,13.04,12.69,11.28,9.48,0.33,13.04,gof
gmve,gmv,LAM,154,0,16.26,17.2,15.63,14.68,2.18,11.56,11.91,10.56,8.43,0.38,11.56,gof
gmve,gmv,LEV,854,0,15.89,16.3,14.7,14.35,1.64,11.97,12.19,10.85,10.01,0.38,11.97,gof
gmve,gmv,MAL,55,0,18.05,18.68,16.84,15.79,1.71,13.94,13.77,12.29,11.56,0.55,13.94,gof
gmve,gmv,MIC,105,0,16.24,16.9,15.22,14.26,1.92,11.65,11.61,10.31,8.23,0.27,11.65,gof
gmve,gmv,MRK,673,0,31.93,32.43,30.21,35.59,11.22,10.9,10.4,9.18,7.5,0.34,10.9,gof
gmve,gmv,NAM,47,0,13.36,13.74,12.36,10.49,1.06,11.83,11.48,10.18,9.0,0.57,11.83,gof
gmve,gmv,NEH,401,0,13.86,14.08,12.67,12.1,1.49,11.48,11.11,9.83,7.96,0.31,11.48,gof
gmve,gmv,NUM,1271,0,15.92,16.22,14.64,14.3,1.9,11.22,10.99,9.75,7.68,0.44,11.22,gof
gmve,gmv,OBA,21,0,13.82,14.62,13.2,11.85,1.48,11.89,11.8,10.52,9.33,0.66,11.89,gof
gmve,gmv,PRO,915,0,17.55,18.2,16.66,16.54,2.96,14.71,14.69,13.12,13.04,1.03,14.71,gof
gmve,gmv,PSA,2458,0,19.74,20.99,19.23,19.73,3.45,16.93,17.31,15.61,15.96,1.81,16.93,gof
gmve,gmv,RUT,85,0,16.9,17.51,15.81,16.29,2.13,13.69,13.77,12.32,12.05,0.91,13.69,gof
gmve,gmv,SNG,117,0,15.72,16.53,15.03,14.61,2.26,13.73,13.93,12.46,12.12,0.62,13.73,gof
gmve,gmv,ZEC,211,0,19.0,19.4,17.55,18.68,2.12,15.82,15.56,13.93,14.02,1.26,15.82,gof
gmve,gmv,ZEP,53,0,17.33,17.9,16.26,15.41,1.9,14.2,14.12,12.57,11.46,0.6,14.2,gof
gmve,gmv,[epistles],271,0,21.85,22.6,20.79,21.99,4.89,10.84,10.67,9.47,7.61,0.53,10.84,gof
gmve,gmv,[OT],23060,0,17.51,18.1,16.42,16.69,2.55,13.54,13.47,12.03,10.92,0.76,13.54,gof
