translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gofe,gof,1CH,940,0,16.33,16.58,14.96,11.46,1.65,14.22,13.72,12.2,9.89,0.49,14.22,gmv
gofe,gof,1KI,816,0,18.78,19.27,17.37,16.47,2.26,16.06,15.93,14.23,12.62,0.82,16.06,gmv
gofe,gof,1PE,103,0,27.28,27.93,25.76,26.29,5.88,12.09,11.65,10.31,7.31,0.32,15.39,oyd
gofe,gof,1SA,810,0,18.63,19.15,17.26,16.17,2.21,12.67,12.5,11.1,8.32,0.32,12.67,gmv
gofe,gof,2CH,821,0,19.13,19.56,17.66,17.11,2.33,15.67,15.43,13.72,12.1,0.51,15.67,gmv
gofe,gof,2KI,719,0,17.59,17.8,15.99,14.85,2.09,12.56,12.12,10.71,7.67,0.25,12.56,gmv
gofe,gof,2PE,61,0,23.86,24.85,22.85,22.86,5.51,13.06,13.04,11.61,8.24,1.06,14.88,oyd
gofe,gof,2SA,695,0,17.49,17.89,16.08,14.08,2.04,12.32,12.07,10.71,7.79,0.42,12.32,gmv
gofe,gof,AMO,146,0,17.66,18.09,16.3,14.74,1.44,13.69,13.66,12.16,9.97,0.35,13.69,gmv
gofe,gof,DAN,357,0,16.43,16.77,15.04,14.66,1.6,13.02,12.73,11.27,9.56,0.3,13.02,gmv
gofe,gof,DEU,958,0,17.64,18.15,16.37,14.23,1.78,13.21,12.98,11.53,9.21,0.38,13.21,gmv
gofe,gof,ECC,222,0,15.44,15.78,14.16,13.36,1.11,13.52,13.25,11.76,11.71,0.39,13.52,gmv
gofe,gof,EST,167,0,16.12,16.21,14.56,13.3,1.55,13.22,12.91,11.5,11.0,0.56,13.22,gmv
gofe,gof,EXO,1212,0,18.76,19.42,17.6,16.66,2.56,14.99,14.99,13.46,12.17,1.02,14.99,gmv
gofe,gof,EZK,1273,0,17.33,17.94,16.18,14.32,1.81,15.05,15.25,13.68,11.98,0.77,15.05,gmv
gofe,gof,EZR,280,0,16.4,16.51,14.85,13.33,1.89,12.16,11.66,10.33,8.5,0.22,12.16,gmv
gofe,gof,GEN,1524,0,21.04,21.93,20.01,19.51,3.72,14.84,15.03,13.54,12.17,1.41,14.84,gmv
gofe,gof,HAB,56,0,13.66,14.2,12.8,9.49,1.46,11.8,11.59,10.25,8.81,0.48,11.8,gmv
gofe,gof,HAG,38,0,18.7,19.0,17.12,18.33,1.38,14.98,14.95,13.41,13.29,0.82,14.98,gmv
gofe,gof,HOS,197,0,18.61,19.25,17.44,14.95,2.2,13.82,13.79,12.24,9.49,0.44,13.82,gmv
gofe,gof,ISA,1291,0,16.45,17.0,15.32,13.71,1.73,15.4,15.48,13.86,12.86,1.06,15.4,gmv
gofe,gof,JAS,107,0,23.83,24.64,22.77,23.7,5.09,11.56,11.6,10.31,8.01,0.3,14.52,oyd
gofe,gof,JDG,618,0,20.54,21.08,19.19,17.6,3.53,14.2,14.08,12.57,10.41,0.74,14.2,gmv
gofe,gof,JER,1364,0,17.57,17.98,16.21,15.13,1.7,14.65,14.52,12.95,11.69,0.57,14.65,gmv
gofe,gof,JOB,1068,0,15.5,16.23,14.65,11.34,1.3,12.85,13.05,11.63,9.01,0.41,12.85,gmv
gofe,gof,JOL,73,0,16.62,16.98,15.27,12.97,1.38,13.07,13.06,11.67,9.13,0.59,13.07,gmv
gofe,gof,JON,48,0,20.51,20.94,19.07,19.83,3.6,15.11,15.13,13.54,11.82,0.88,15.11,gmv
gofe,gof,JOS,656,0,18.43,18.7,16.87,14.0,2.06,13.55,13.21,11.75,9.55,0.33,13.55,gmv
gofe,gof,LAM,154,0,16.02,16.85,15.1,12.23,1.55,12.41,12.82,11.37,8.52,0.37,12.41,gmv
gofe,gof,LEV,859,0,16.74,17.21,15.51,13.05,1.61,13.29,13.49,12.01,10.17,0.38,13.29,gmv
gofe,gof,MAL,55,0,17.9,18.3,16.46,15.76,1.9,14.55,14.44,12.89,11.59,0.55,14.55,gmv
gofe,gof,MIC,105,0,14.94,15.46,13.91,11.75,1.03,11.42,11.44,10.17,8.23,0.27,11.42,gmv
gofe,gof,MRK,673,0,35.36,36.11,33.9,37.32,13.94,10.6,10.12,8.94,7.53,0.34,14.28,oyd
gofe,gof,NAM,47,0,14.08,14.26,12.82,10.86,1.39,11.84,11.47,10.16,9.0,0.57,11.84,gmv
gofe,gof,NEH,403,0,15.03,15.05,13.5,12.01,1.08,12.06,11.71,10.37,8.07,0.31,12.06,gmv
gofe,gof,NUM,1212,0,17.38,17.77,16.03,12.8,1.5,12.9,12.65,11.22,8.25,0.46,12.9,gmv
gofe,gof,OBA,21,0,14.19,14.38,12.91,11.41,1.17,12.04,11.98,10.68,9.35,0.66,12.04,gmv
gofe,gof,PRO,914,0,16.0,16.71,15.17,12.21,2.0,15.7,15.67,14.0,13.09,1.02,15.7,gmv
gofe,gof,PSA,2457,0,19.1,20.17,18.39,15.83,2.66,18.06,18.51,16.7,16.02,1.79,18.06,gmv
gofe,gof,RUT,85,0,18.04,18.63,16.8,15.78,2.31,14.26,14.35,12.83,12.11,0.91,14.26,gmv
gofe,gof,SNG,117,0,14.04,14.81,13.38,10.3,0.86,15.11,15.34,13.73,12.29,0.62,15.11,gmv
gofe,gof,ZEC,211,0,19.92,20.28,18.35,18.98,2.79,15.8,15.57,13.95,14.02,1.26,15.8,gmv
gofe,gof,ZEP,53,0,15.76,16.11,14.51,12.5,1.05,14.94,14.92,13.28,11.53,0.6,14.94,gmv
gofe,gof,[epistles],271,0,25.21,26.0,23.98,24.68,5.53,12.14,11.98,10.64,7.79,0.53,14.95,oyd
gofe,gof,[OT],23042,0,17.83,18.36,16.59,14.96,2.13,14.37,14.31,12.78,11.02,0.76,14.37,gmv
