translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,1CH,942,0,33.58,32.82,29.38,7.78,2.98,21.27,20.74,18.16,2.28,0.18,22.3,nya
nde,nde,1KI,816,0,34.85,33.5,29.93,8.75,3.22,19.71,18.76,16.42,1.97,0.34,21.42,nya
nde,nde,1PE,105,0,44.84,43.94,40.23,14.21,10.38,17.34,17.11,15.0,0.92,0.45,20.42,nya
nde,nde,1SA,810,0,36.9,35.97,32.54,12.3,6.1,19.49,18.74,16.4,2.56,0.41,21.5,nya
nde,nde,2CH,822,0,35.58,34.06,30.43,7.95,2.9,19.81,18.66,16.33,1.45,0.22,21.6,nya
nde,nde,2KI,719,0,34.76,33.55,30.04,8.95,3.35,20.48,19.48,17.05,2.29,0.53,22.01,nya
nde,nde,2PE,61,0,43.74,42.8,39.12,13.97,10.19,18.44,17.81,15.6,0.68,0.42,20.79,nya
nde,nde,2SA,695,0,35.58,34.65,31.22,10.2,5.16,20.43,19.56,17.12,2.84,0.36,22.14,nya
nde,nde,AMO,146,0,34.41,33.29,29.88,8.72,4.08,18.55,17.96,15.72,1.89,0.89,20.75,nya
nde,nde,DAN,357,0,33.43,32.35,28.91,5.67,2.76,19.18,18.53,16.22,1.02,0.35,20.9,nya
nde,nde,DEU,959,0,35.28,34.16,30.65,6.61,3.27,17.29,16.61,14.53,0.8,0.06,19.54,nya
nde,nde,ECC,222,0,36.68,35.53,31.83,5.54,2.66,17.29,16.93,14.81,0.45,0.16,19.22,nya
nde,nde,EST,167,0,29.45,28.35,25.24,4.44,1.11,19.47,18.5,16.18,1.06,0.27,21.09,nya
nde,nde,EXO,1213,0,35.08,33.8,30.33,9.63,4.36,17.93,17.12,14.98,1.34,0.26,19.39,nya
nde,nde,EZK,1273,0,33.86,32.79,29.43,6.95,3.22,18.36,17.75,15.54,1.16,0.31,19.79,nya
nde,nde,EZR,280,0,35.31,34.11,30.48,7.68,2.89,20.66,19.84,17.37,1.76,0.19,21.6,nya
nde,nde,GEN,1533,0,38.4,37.4,33.79,13.59,6.46,19.84,19.15,16.76,2.26,0.31,20.51,nya
nde,nde,HAB,56,0,31.67,31.03,27.71,3.99,1.56,18.14,17.94,15.7,0.51,0.33,20.03,nya
nde,nde,HAG,38,0,38.97,38.0,34.32,13.3,3.27,19.83,19.26,16.87,2.71,1.12,20.28,nya
nde,nde,HOS,197,0,36.21,35.34,31.73,7.61,3.84,17.98,17.9,15.67,1.55,0.37,20.8,nya
nde,nde,ISA,1291,0,34.72,33.86,30.4,7.56,4.07,17.99,17.77,15.55,1.16,0.22,20.35,nya
nde,nde,JAS,108,0,42.48,41.86,38.19,13.55,8.42,17.18,17.03,14.9,0.89,0.28,19.08,nya
nde,nde,JDG,618,0,36.02,34.92,31.37,9.61,4.29,20.2,19.42,16.99,3.29,0.35,21.85,nya
