translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nit,nit,1PE,105,0,27.9,27.31,24.44,13.12,2.05,16.56,16.2,14.27,1.38,0.81,16.56,tel
nit,nit,2PE,60,0,27.92,27.55,24.7,13.09,3.09,18.01,17.69,15.63,1.64,0.5,18.01,tel
nit,nit,JAS,108,0,27.27,27.05,24.22,13.14,1.76,18.19,18.01,15.89,2.09,0.83,18.19,tel
nit,nit,MRK,672,0,27.9,27.09,24.1,14.25,1.57,14.59,13.85,12.13,0.9,0.08,14.59,tel
nit,nit,[epistles],273,0,27.68,27.28,24.43,13.15,2.27,17.48,17.2,15.17,1.69,0.75,17.48,tel
vgr,vgr,1PE,105,0,21.87,21.17,18.65,6.56,0.31,19.01,18.08,15.93,2.23,1.05,19.01,tel
vgr,vgr,2PE,61,0,21.71,20.66,18.27,6.44,1.05,18.13,17.12,15.0,1.65,0.29,18.13,tel
vgr,vgr,JAS,108,0,21.64,21.06,18.56,7.13,0.46,17.82,17.06,14.97,1.69,0.2,17.82,tel
vgr,vgr,MRK,678,0,24.05,23.34,20.74,11.07,1.48,15.67,15.07,13.22,2.01,0.36,15.67,tel
vgr,vgr,[epistles],274,0,21.75,21.01,18.53,6.75,0.53,18.36,17.47,15.35,1.92,0.58,18.36,tel
