translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,1CH,942,0,27.83,28.05,25.34,8.0,3.78,12.44,12.47,10.94,0.95,0.13,13.24,urd
ckb,ckb,1KI,816,0,32.63,32.38,29.43,11.66,5.84,14.83,14.18,12.44,1.18,0.12,14.83,pes
ckb,ckb,1PE,105,0,36.08,35.96,32.8,14.69,7.07,12.65,11.71,10.25,0.11,0.06,12.65,pes
ckb,ckb,1SA,809,0,32.41,32.24,29.3,11.56,5.58,15.28,14.85,13.04,1.83,0.15,15.28,pes
ckb,ckb,2CH,822,0,33.04,32.82,29.86,11.81,5.93,15.36,14.72,12.93,0.79,0.15,15.36,pes
ckb,ckb,2KI,719,0,31.74,31.41,28.51,11.47,5.56,14.77,14.1,12.37,1.19,0.12,14.77,pes
ckb,ckb,2PE,61,0,33.65,33.11,29.94,9.86,4.69,12.54,11.73,10.26,0.35,0.18,12.54,pes
ckb,ckb,2SA,694,0,31.7,31.55,28.71,11.36,5.65,14.97,14.41,12.65,1.53,0.15,14.97,pes
ckb,ckb,AMO,146,0,29.24,28.83,25.93,9.04,3.42,13.46,12.75,11.17,0.48,0.14,13.46,pes
ckb,ckb,DAN,356,0,31.29,31.17,28.18,10.32,4.55,13.97,13.58,11.91,0.87,0.2,13.97,pes
ckb,ckb,DEU,959,0,31.09,30.77,27.79,9.14,4.05,13.23,12.75,11.17,0.35,0.11,13.23,pes
ckb,ckb,ECC,222,0,30.31,30.01,26.99,8.11,4.04,12.65,12.11,10.61,0.07,0.07,12.65,pes
ckb,ckb,EST,167,0,30.16,29.93,26.94,8.24,3.47,14.68,14.03,12.33,1.23,0.35,14.68,pes
ckb,ckb,EXO,1213,0,31.7,31.64,28.79,11.05,5.97,13.57,13.3,11.68,0.98,0.32,13.57,pes
ckb,ckb,EZK,1271,0,28.92,28.59,25.7,7.51,3.07,13.3,12.95,11.35,0.4,0.17,13.3,pes
ckb,ckb,EZR,280,0,32.17,32.14,29.25,10.79,6.32,16.43,15.84,13.96,1.25,0.39,16.43,pes
ckb,ckb,GEN,1531,0,32.45,32.31,29.4,12.4,6.19,14.18,13.91,12.23,1.82,0.45,14.18,pes
ckb,ckb,HAB,56,0,29.32,28.89,26.14,8.63,4.91,12.79,12.27,10.74,0.13,0.09,12.79,pes
ckb,ckb,HAG,38,0,30.78,30.3,27.22,9.14,3.65,13.91,13.59,11.98,0.4,0.31,13.91,pes
ckb,ckb,HOS,197,0,32.09,31.63,28.51,9.73,3.34,14.06,13.53,11.84,0.3,0.11,14.06,pes
ckb,ckb,ISA,1290,0,31.19,30.75,27.7,9.64,3.55,13.27,12.81,11.22,0.32,0.06,13.27,pes
ckb,ckb,JAS,108,0,37.08,36.97,33.78,14.74,8.56,12.6,12.17,10.66,0.36,0.15,12.6,pes
ckb,ckb,JDG,618,0,32.62,32.41,29.44,11.07,5.83,14.85,14.26,12.51,1.27,0.13,14.85,pes
ckb,ckb,JER,1364,0,31.3,30.89,27.9,9.92,4.28,14.27,13.62,11.94,0.57,0.09,14.27,pes
ckb,ckb,JOB,1068,0,27.46,27.11,24.3,6.74,2.74,11.87,11.54,10.11,0.37,0.09,11.87,pes
ckb,ckb,JOL,73,0,33.26,33.02,29.94,11.49,4.84,12.67,12.38,10.84,0.33,0.15,12.67,pes
ckb,ckb,JON,48,0,31.98,31.72,28.9,14.16,6.6,13.85,13.43,11.78,1.84,0.34,13.85,pes
ckb,ckb,JOS,658,0,32.04,31.72,28.65,10.36,4.5,14.38,13.72,12.03,0.75,0.08,14.38,pes
ckb,ckb,LAM,154,0,29.33,28.79,25.75,7.42,2.52,13.01,12.49,10.93,0.11,0.05,13.01,pes
ckb,ckb,LEV,859,0,30.12,29.83,26.87,7.02,3.39,12.79,12.41,10.88,0.3,0.08,12.79,pes
ckb,ckb,MAL,55,0,30.42,29.9,26.86,8.3,2.69,13.22,12.54,10.97,0.09,0.07,13.22,pes
ckb,ckb,MIC,105,0,31.49,30.92,27.78,9.54,1.63,13.27,12.54,10.98,0.21,0.1,13.27,pes
ckb,ckb,MRK,678,0,52.32,51.91,48.99,36.29,25.8,13.19,12.63,11.06,1.17,0.1,13.19,pes
ckb,ckb,NAM,47,0,26.97,26.64,23.81,5.88,1.85,12.95,12.6,11.08,0.94,0.4,12.95,pes
ckb,ckb,NEH,405,0,30.4,30.31,27.53,9.99,5.31,15.35,14.92,13.13,1.25,0.31,15.35,pes
ckb,ckb,NUM,1288,0,30.55,30.46,27.72,9.71,5.3,14.51,13.94,12.26,0.87,0.22,14.51,pes
ckb,ckb,OBA,21,0,27.23,26.6,23.98,6.94,2.34,12.93,11.98,10.48,0.35,0.17,12.93,pes
ckb,ckb,PRO,915,0,29.88,29.64,26.64,8.43,2.76,11.55,11.25,9.85,0.11,0.05,11.55,pes
ckb,ckb,PSA,2458,0,31.75,31.54,28.51,10.92,4.75,12.47,12.04,10.54,0.26,0.05,12.47,pes
ckb,ckb,RUT,85,0,31.52,31.4,28.57,11.84,5.43,13.19,12.71,11.13,1.21,0.27,13.19,pes
ckb,ckb,SNG,117,0,24.84,24.7,21.96,4.49,1.24,12.29,11.84,10.36,0.26,0.12,12.29,pes
ckb,ckb,ZEC,211,0,31.85,31.29,28.3,11.74,4.3,13.44,12.9,11.3,0.98,0.12,13.44,pes
ckb,ckb,ZEP,53,0,32.44,31.89,28.71,9.57,3.48,13.44,12.77,11.19,0.28,0.17,13.44,pes
ckb,ckb,[epistles],274,0,35.83,35.62,32.45,13.4,7.12,12.6,11.89,10.4,0.24,0.08,12.6,pes
ckb,ckb,[OT],23130,0,31.09,30.86,27.93,10.06,4.72,13.83,13.36,11.72,0.86,0.15,13.83,pes
urdoucv,urd,1CH,942,0,28.0,28.41,25.9,17.33,4.79,12.21,10.74,9.4,1.42,0.01,12.29,ckb
urdoucv,urd,1KI,816,0,28.66,29.27,26.69,17.19,5.03,13.01,11.53,10.09,0.32,0.03,13.01,pes
