translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,1PE,105,0,41.39,40.9,37.5,20.19,10.43,12.65,11.71,10.25,0.11,0.06,12.65,pes
ckb,ckb,2PE,61,0,39.57,38.72,35.2,16.16,6.3,12.54,11.73,10.26,0.35,0.18,12.54,pes
ckb,ckb,GEN,250,0,49.77,49.54,46.32,32.41,19.71,14.37,14.13,12.45,2.13,0.73,14.37,pes
ckb,ckb,JAS,108,0,37.28,36.97,33.82,14.28,7.91,12.6,12.17,10.66,0.36,0.15,12.6,pes
ckb,ckb,MRK,678,0,55.33,54.97,51.94,39.66,26.99,13.19,12.63,11.06,1.17,0.1,13.19,pes
ckb,ckb,[epistles],274,0,39.44,38.93,35.59,17.52,8.57,12.6,11.89,10.4,0.24,0.08,12.6,pes
urdoucv,urd,1PE,105,0,36.16,36.88,34.25,26.97,11.78,12.32,10.98,9.61,0.14,0.03,12.32,pes
urdoucv,urd,2PE,61,0,36.22,36.84,34.05,26.74,9.23,12.26,10.88,9.53,0.29,0.13,12.26,pes
urdoucv,urd,GEN,250,0,45.93,46.53,43.93,39.84,20.17,11.85,10.6,9.28,0.26,0.07,11.85,pes
urdoucv,urd,JAS,108,0,36.64,37.09,34.42,24.78,11.32,12.42,11.22,9.82,0.12,0.07,12.42,pes
urdoucv,urd,MRK,678,0,47.31,47.77,45.31,40.12,23.19,11.17,9.95,8.71,0.16,0.02,11.48,san
urdoucv,urd,[epistles],274,0,36.35,36.94,34.26,26.47,11.09,12.34,11.04,9.67,0.17,0.06,12.34,pes
