translation,book,verses,chrF3,copy_chrF3,other_chrF3,other_lang,truncated
hne,1CH,942,31.75,26.67,26.67,hin,0
hne,1KI,816,35.73,23.54,23.54,hin,0
hne,1PE,105,43.53,21.58,21.58,hin,0
hne,1SA,810,37.88,23.05,23.05,hin,0
hne,2CH,822,34.38,22.99,22.99,hin,0
hne,2KI,719,35.76,23.83,23.83,hin,0
hne,2PE,61,41.87,19.22,20.86,thr,0
hne,2SA,695,35.3,23.53,23.53,hin,0
hne,AMO,146,32.87,21.07,21.07,hin,0
hne,DAN,357,32.55,20.78,20.78,hin,0
hne,DEU,959,33.02,20.69,20.69,hin,0
hne,ECC,222,31.47,18.15,18.15,hin,0
hne,EST,167,32.5,22.77,22.77,hin,0
hne,EXO,1213,34.62,21.29,21.29,hin,0
hne,EZK,1273,32.9,19.96,19.96,hin,0
hne,EZR,280,33.63,25.86,25.86,hin,0
hne,GEN,1533,40.5,23.53,23.53,hin,0
hne,HAB,56,30.6,19.77,19.77,hin,0
hne,HAG,38,33.25,23.83,23.83,hin,0
hne,HOS,197,33.51,19.46,19.46,hin,0
hne,ISA,1291,33.17,20.95,20.95,hin,0
hne,JAS,108,48.61,20.54,21.12,hlb,0
hne,JDG,618,34.93,23.56,23.56,hin,0
hne,JER,1364,34.79,21.53,21.53,hin,0
hne,JOB,1070,31.88,17.24,17.24,hin,0
hne,JOL,73,33.96,20.7,20.7,hin,0
hne,JON,48,37.31,23.69,23.69,hin,0
hne,JOS,658,34.73,25.52,25.52,hin,0
hne,LAM,154,31.6,17.87,17.87,hin,0
hne,LEV,859,32.65,20.44,20.44,hin,0
hne,MAL,55,34.45,20.7,20.7,hin,0
hne,MIC,105,33.69,20.19,20.19,hin,0
hne,MRK,678,58.24,19.83,20.29,hlb,0
hne,NAM,47,28.99,18.31,18.31,hin,0
hne,NEH,405,33.41,24.14,24.14,hin,0
hne,NUM,1288,32.74,22.48,22.48,hin,0
hne,OBA,21,33.53,23.05,23.05,hin,0
hne,PRO,915,32.81,18.42,18.42,hin,0
hne,PSA,2460,35.2,19.12,19.12,hin,0
hne,RUT,85,37.25,21.56,21.56,hin,0
hne,SNG,117,32.26,19.5,19.5,hin,0
hne,ZEC,211,35.07,20.99,20.99,hin,0
hne,ZEP,53,30.27,19.5,19.5,hin,0
hne,[epistles],274,44.9,20.63,20.65,thr,0
hne,[OT],23142,34.41,21.77,21.77,hin,0
mar,1CH,942,25.75,21.86,21.86,hin,0
mar,1KI,816,25.56,16.94,16.94,hin,0
mar,1PE,103,35.7,17.66,17.66,hin,0
mar,1SA,810,29.9,16.99,16.99,hin,0
mar,2CH,822,26.04,18.18,18.18,hin,0
mar,2KI,719,27.67,17.94,17.94,hin,0
mar,2PE,61,33.08,16.48,16.48,hin,0
mar,2SA,695,25.4,16.61,16.61,hin,0
mar,AMO,146,27.48,17.0,17.0,hin,0
mar,DAN,356,28.43,18.31,18.31,hin,0
mar,DEU,959,25.62,16.8,16.8,hin,0
mar,ECC,222,25.21,14.65,14.65,hin,0
mar,EST,167,25.82,17.91,17.91,hin,0
mar,EXO,1213,28.65,16.41,16.41,hin,0
mar,EZK,1273,27.29,15.98,15.98,hin,0
mar,EZR,280,27.61,20.31,20.31,hin,0
mar,GEN,1532,30.32,16.49,16.49,hin,0
mar,HAB,56,25.79,15.68,15.68,hin,0
mar,HAG,38,26.34,18.01,18.01,hin,0
mar,HOS,197,29.83,16.86,16.86,hin,0
mar,ISA,1291,27.53,16.07,16.07,hin,0
mar,JAS,108,33.16,17.3,17.3,hin,0
mar,JDG,618,29.61,17.33,17.33,hin,0
mar,JER,1364,28.07,16.85,16.85,hin,0
mar,JOB,1070,23.29,13.25,13.25,hin,0
mar,JOL,73,28.86,15.77,15.77,hin,0
mar,JON,48,30.22,17.0,17.0,hin,0
mar,JOS,658,28.91,19.43,19.43,hin,0
mar,LAM,154,27.53,14.74,14.74,hin,0
mar,LEV,859,27.52,16.83,16.83,hin,0
mar,MAL,55,29.97,18.09,18.09,hin,0
mar,MIC,105,28.03,16.68,16.68,hin,0
mar,MRK,673,45.19,14.92,14.92,hin,0
mar,NAM,47,23.48,14.28,14.28,hin,0
mar,NEH,405,25.0,18.81,18.81,hin,0
mar,NUM,1288,26.09,16.59,16.59,hin,0
mar,OBA,21,27.55,16.58,16.58,hin,0
mar,PRO,915,24.76,14.74,14.74,hin,0
mar,PSA,2460,29.05,15.22,15.22,hin,0
mar,RUT,85,30.17,15.57,15.57,hin,0
mar,SNG,117,25.52,13.92,13.92,hin,0
mar,ZEC,211,28.04,15.91,15.91,hin,0
mar,ZEP,53,28.5,16.23,16.23,hin,0
mar,[epistles],272,34.13,17.24,17.24,hin,0
mar,[OT],23140,27.41,16.79,16.79,hin,0
