translation,book,verses,chrF3,copy_chrF3,other_chrF3,other_lang,truncated
hne,1PE,105,45.26,21.58,21.58,hin,0
hne,2PE,61,44.5,19.22,20.86,thr,0
hne,GEN,250,53.1,23.64,23.64,hin,0
hne,JAS,108,49.1,20.54,21.12,hlb,0
hne,MRK,678,57.95,19.83,20.29,hlb,0
hne,[epistles],274,46.42,20.63,20.65,thr,0
mar,1PE,103,37.55,17.66,17.66,hin,0
mar,2PE,61,36.55,16.48,16.48,hin,0
mar,GEN,250,40.35,16.88,16.88,hin,0
mar,JAS,108,37.57,17.3,17.3,hin,0
mar,MRK,673,46.37,14.92,14.92,hin,0
mar,[epistles],272,37.31,17.24,17.24,hin,0
