translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gmve,gmv,1CH,939,0,16.56,16.99,15.42,15.97,2.25,13.28,12.84,11.41,9.77,0.5,13.28,gof
gmve,gmv,1KI,816,0,19.81,20.53,18.68,20.41,3.2,15.27,15.14,13.52,12.54,0.82,15.27,gof
gmve,gmv,1PE,105,0,24.43,25.45,23.42,24.81,5.05,10.6,10.18,9.01,7.09,0.31,10.6,gof
gmve,gmv,1SA,810,0,18.78,19.43,17.63,18.76,2.79,11.89,11.71,10.4,8.25,0.32,11.89,gof
gmve,gmv,2CH,821,0,19.72,20.41,18.6,19.9,2.9,14.89,14.66,13.04,12.02,0.52,14.89,gof
gmve,gmv,2KI,719,0,17.86,18.27,16.5,17.28,2.33,11.88,11.44,10.11,7.6,0.25,11.88,gof
gmve,gmv,2PE,61,0,22.15,23.25,21.48,22.93,4.69,11.31,11.25,10.01,8.04,1.06,11.31,gof
gmve,gmv,2SA,694,0,17.33,17.98,16.3,16.92,2.53,11.45,11.21,9.94,7.7,0.42,11.45,gof
gmve,gmv,AMO,146,0,19.47,20.12,18.35,18.35,3.56,13.11,13.03,11.6,9.94,0.35,13.11,gof
gmve,gmv,DAN,357,0,17.38,17.97,16.25,17.08,2.14,12.1,11.81,10.45,9.47,0.3,12.1,gof
gmve,gmv,DEU,957,0,18.86,19.68,17.9,17.93,2.7,12.1,11.92,10.58,9.13,0.38,12.1,gof
gmve,gmv,ECC,222,0,17.01,17.56,15.91,16.61,1.81,13.38,13.1,11.62,11.71,0.39,13.38,gof
gmve,gmv,EST,167,0,16.65,17.02,15.36,15.06,1.66,13.29,13.0,11.58,11.0,0.56,13.29,gof
gmve,gmv,EXO,1208,0,19.88,20.61,18.8,20.26,3.24,14.0,13.98,12.54,12.08,1.02,14.0,gof
gmve,gmv,EZK,1268,0,18.71,19.55,17.8,17.5,2.73,14.39,14.57,13.06,11.93,0.77,14.39,gof
gmve,gmv,EZR,271,0,15.58,15.99,14.54,14.9,2.18,11.44,10.95,9.7,8.44,0.22,11.44,gof
gmve,gmv,GEN,1511,0,22.71,23.72,21.79,23.42,4.72,14.44,14.6,13.15,12.14,1.42,14.44,gof
gmve,gmv,HAB,56,0,14.73,15.82,14.36,12.66,2.23,11.43,11.22,9.92,8.78,0.48,11.43,gof
gmve,gmv,HAG,38,0,19.0,19.56,17.68,19.2,1.91,15.05,14.98,13.43,13.27,0.82,15.05,gof
gmve,gmv,HOS,197,0,19.58,20.43,18.64,18.52,2.94,12.93,12.88,11.43,9.42,0.44,12.93,gof
gmve,gmv,ISA,1291,0,18.4,19.23,17.48,17.65,2.38,14.81,14.87,13.32,12.81,1.06,14.81,gof
gmve,gmv,JAS,105,0,23.25,24.27,22.59,24.35,6.87,10.78,10.81,9.61,7.88,0.3,10.78,gof
gmve,gmv,JDG,617,0,20.21,21.0,19.25,20.44,4.38,13.33,13.19,11.76,10.3,0.74,13.33,gof
gmve,gmv,JER,1363,0,19.23,19.96,18.16,18.9,2.74,14.3,14.13,12.6,11.67,0.57,14.3,gof
gmve,gmv,JOB,1068,0,16.6,17.56,15.95,15.83,2.33,11.59,11.79,10.51,8.91,0.41,11.59,gof
gmve,gmv,JOL,72,0,16.92,17.48,15.79,15.01,1.62,11.97,11.89,10.61,9.0,0.59,11.97,gof
gmve,gmv,JON,48,0,22.31,23.08,21.23,22.4,4.81,14.66,14.69,13.14,11.82,0.88,14.66,gof
gmve,gmv,JOS,657,0,17.94,18.45,16.71,16.07,2.07,13.04,12.69,11.28,9.48,0.33,13.04,gof
gmve,gmv,LAM,154,0,17.39,18.44,16.8,16.92,2.3,11.56,11.91,10.56,8.43,0.38,11.56,gof
gmve,gmv,LEV,854,0,16.93,17.44,15.81,16.28,2.01,11.97,12.19,10.85,10.01,0.38,11.97,gof
gmve,gmv,MAL,55,0,20.15,21.18,19.43,19.37,3.37,13.94,13.77,12.29,11.56,0.55,13.94,gof
gmve,gmv,MIC,105,0,17.27,18.11,16.4,14.95,1.68,11.65,11.61,10.31,8.23,0.27,11.65,gof
gmve,gmv,MRK,673,0,31.52,32.21,29.96,34.47,9.66,10.9,10.4,9.18,7.5,0.34,10.9,gof
gmve,gmv,NAM,47,0,15.53,15.94,14.44,13.02,2.17,11.83,11.48,10.18,9.0,0.57,11.83,gof
gmve,gmv,NEH,401,0,15.26,15.68,14.18,14.29,1.66,11.48,11.11,9.83,7.96,0.31,11.48,gof
gmve,gmv,NUM,1271,0,16.79,17.22,15.59,15.58,1.87,11.22,10.99,9.75,7.68,0.44,11.22,gof
gmve,gmv,OBA,21,0,14.33,15.14,13.65,11.77,1.17,11.89,11.8,10.52,9.33,0.66,11.89,gof
gmve,gmv,PRO,915,0,19.06,19.8,18.14,18.08,2.67,14.71,14.69,13.12,13.04,1.03,14.71,gof
gmve,gmv,PSA,2458,0,22.01,23.25,21.41,22.38,4.36,16.93,17.31,15.61,15.96,1.81,16.93,gof
gmve,gmv,RUT,85,0,18.54,19.49,17.7,18.7,2.7,13.69,13.77,12.32,12.05,0.91,13.69,gof
gmve,gmv,SNG,117,0,16.38,17.26,15.79,16.08,2.98,13.73,13.93,12.46,12.12,0.62,13.73,gof
gmve,gmv,ZEC,211,0,20.75,21.37,19.47,20.13,3.13,15.82,15.56,13.93,14.02,1.26,15.82,gof
gmve,gmv,ZEP,53,0,18.02,18.84,17.16,15.9,3.02,14.2,14.12,12.57,11.46,0.6,14.2,gof
gmve,gmv,[epistles],271,0,23.45,24.49,22.64,24.18,5.65,10.84,10.67,9.47,7.61,0.53,10.84,gof
gmve,gmv,[OT],23060,0,18.82,19.56,17.82,18.68,2.89,13.54,13.47,12.03,10.92,0.76,13.54,gof
