translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gofe,gof,1CH,940,0,18.45,18.76,17.04,15.81,2.68,14.22,13.72,12.2,9.89,0.49,14.22,gmv
gofe,gof,1KI,816,0,21.54,22.04,20.05,20.83,3.52,16.06,15.93,14.23,12.62,0.82,16.06,gmv
gofe,gof,1PE,103,0,45.56,46.62,44.36,47.38,21.72,12.09,11.65,10.31,7.31,0.32,15.39,oyd
gofe,gof,1SA,810,0,20.09,20.63,18.7,18.61,3.25,12.67,12.5,11.1,8.32,0.32,12.67,gmv
gofe,gof,2CH,821,0,22.24,22.75,20.74,21.2,3.83,15.67,15.43,13.72,12.1,0.51,15.67,gmv
gofe,gof,2KI,719,0,18.69,18.96,17.09,16.57,2.29,12.56,12.12,10.71,7.67,0.25,12.56,gmv
gofe,gof,2PE,61,0,41.63,43.0,40.84,43.7,18.78,13.06,13.04,11.61,8.24,1.06,14.88,oyd
gofe,gof,2SA,695,0,19.09,19.51,17.62,17.43,2.82,12.32,12.07,10.71,7.79,0.42,12.32,gmv
gofe,gof,AMO,146,0,18.7,19.14,17.31,16.1,1.94,13.69,13.66,12.16,9.97,0.35,13.69,gmv
gofe,gof,DAN,357,0,18.24,18.52,16.73,16.83,2.14,13.02,12.73,11.27,9.56,0.3,13.02,gmv
gofe,gof,DEU,958,0,20.05,20.54,18.64,18.0,2.71,13.21,12.98,11.53,9.21,0.38,13.21,gmv
gofe,gof,ECC,222,0,16.99,17.24,15.57,15.66,1.93,13.52,13.25,11.76,11.71,0.39,13.52,gmv
gofe,gof,EST,167,0,17.21,17.39,15.73,15.12,2.03,13.22,12.91,11.5,11.0,0.56,13.22,gmv
gofe,gof,EXO,1212,0,21.09,21.66,19.72,20.32,3.51,14.99,14.99,13.46,12.17,1.02,14.99,gmv
gofe,gof,EZK,1273,0,19.35,19.95,18.14,17.26,2.82,15.05,15.25,13.68,11.98,0.77,15.05,gmv
gofe,gof,EZR,280,0,17.4,17.45,15.81,15.35,2.32,12.16,11.66,10.33,8.5,0.22,12.16,gmv
gofe,gof,GEN,1524,0,23.13,23.93,21.95,22.82,4.92,14.84,15.03,13.54,12.17,1.41,14.84,gmv
gofe,gof,HAB,56,0,14.2,14.79,13.29,11.48,1.45,11.8,11.59,10.25,8.81,0.48,11.8,gmv
gofe,gof,HAG,38,0,20.26,20.4,18.54,19.51,1.56,14.98,14.95,13.41,13.29,0.82,14.98,gmv
gofe,gof,HOS,197,0,20.06,20.59,18.73,17.75,2.92,13.82,13.79,12.24,9.49,0.44,13.82,gmv
gofe,gof,ISA,1291,0,18.57,19.1,17.34,16.86,2.62,15.4,15.48,13.86,12.86,1.06,15.4,gmv
gofe,gof,JAS,107,0,45.93,47.15,45.19,48.83,24.4,11.56,11.6,10.31,8.01,0.3,14.52,oyd
gofe,gof,JDG,618,0,22.75,23.27,21.33,21.12,4.91,14.2,14.08,12.57,10.41,0.74,14.2,gmv
gofe,gof,JER,1364,0,19.27,19.67,17.8,17.49,2.61,14.65,14.52,12.95,11.69,0.57,14.65,gmv
gofe,gof,JOB,1068,0,17.63,18.37,16.71,15.33,2.36,12.85,13.05,11.63,9.01,0.41,12.85,gmv
gofe,gof,JOL,73,0,18.18,18.51,16.78,15.35,3.22,13.07,13.06,11.67,9.13,0.59,13.07,gmv
gofe,gof,JON,48,0,22.42,22.78,20.81,21.62,5.0,15.11,15.13,13.54,11.82,0.88,15.11,gmv
gofe,gof,JOS,656,0,19.79,20.03,18.14,16.94,2.48,13.55,13.21,11.75,9.55,0.33,13.55,gmv
