translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,1CH,942,0,34.24,33.51,30.08,8.6,3.53,21.27,20.74,18.16,2.28,0.18,22.3,nya
nde,nde,1KI,816,0,34.07,32.85,29.44,8.67,3.72,19.71,18.76,16.42,1.97,0.34,21.42,nya
nde,nde,1PE,105,0,46.27,45.56,41.81,15.01,11.69,17.34,17.11,15.0,0.92,0.45,20.42,nya
nde,nde,1SA,810,0,36.2,35.35,32.01,11.83,6.06,19.49,18.74,16.4,2.56,0.41,21.5,nya
nde,nde,2CH,822,0,35.72,34.29,30.73,8.19,3.89,19.81,18.66,16.33,1.45,0.22,21.6,nya
nde,nde,2KI,719,0,34.52,33.35,29.9,8.87,3.9,20.48,19.48,17.05,2.29,0.53,22.01,nya
nde,nde,2PE,61,0,43.68,42.83,39.15,13.6,10.04,18.44,17.81,15.6,0.68,0.42,20.79,nya
nde,nde,2SA,695,0,34.84,33.98,30.63,9.74,4.55,20.43,19.56,17.12,2.84,0.36,22.14,nya
nde,nde,AMO,146,0,34.72,33.7,30.3,9.29,5.24,18.55,17.96,15.72,1.89,0.89,20.75,nya
nde,nde,DAN,357,0,33.17,32.17,28.82,5.9,3.34,19.18,18.53,16.22,1.02,0.35,20.9,nya
nde,nde,DEU,959,0,35.46,34.37,30.87,6.5,3.03,17.29,16.61,14.53,0.8,0.06,19.54,nya
nde,nde,ECC,222,0,35.46,34.53,31.01,5.5,3.35,17.29,16.93,14.81,0.45,0.16,19.22,nya
nde,nde,EST,167,0,28.71,27.72,24.72,4.6,1.72,19.47,18.5,16.18,1.06,0.27,21.09,nya
nde,nde,EXO,1213,0,35.09,33.85,30.41,9.59,4.33,17.93,17.12,14.98,1.34,0.26,19.39,nya
nde,nde,EZK,1273,0,34.56,33.48,30.09,7.45,3.84,18.36,17.75,15.54,1.16,0.31,19.79,nya
nde,nde,EZR,280,0,38.03,36.7,32.93,9.3,4.59,20.66,19.84,17.37,1.76,0.19,21.6,nya
nde,nde,GEN,1533,0,37.76,36.84,33.29,13.18,6.04,19.84,19.15,16.76,2.26,0.31,20.51,nya
nde,nde,HAB,56,0,31.89,31.22,27.99,5.47,1.82,18.14,17.94,15.7,0.51,0.33,20.03,nya
nde,nde,HAG,38,0,36.87,36.14,32.8,13.91,7.97,19.83,19.26,16.87,2.71,1.12,20.28,nya
nde,nde,HOS,197,0,36.09,35.39,31.88,8.18,3.77,17.98,17.9,15.67,1.55,0.37,20.8,nya
nde,nde,ISA,1291,0,34.62,33.88,30.49,7.87,4.39,17.99,17.77,15.55,1.16,0.22,20.35,nya
