translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,1PE,105,0,52.26,51.18,47.36,21.46,15.72,17.34,17.11,15.0,0.92,0.45,20.42,nya
nde,nde,2PE,61,0,50.71,49.59,45.74,20.63,14.75,18.44,17.81,15.6,0.68,0.42,20.79,nya
nde,nde,GEN,250,0,56.95,55.71,51.74,33.97,20.63,20.05,19.35,16.94,2.44,0.32,20.42,nya
nde,nde,JAS,108,0,49.92,49.15,45.19,21.18,12.8,17.18,17.03,14.9,0.89,0.28,19.08,nya
nde,nde,MRK,678,0,59.64,58.7,55.0,35.97,25.21,18.37,17.87,15.64,2.33,0.63,19.79,nya
nde,nde,[epistles],274,0,51.04,50.06,46.18,21.16,14.44,17.55,17.26,15.12,0.86,0.3,20.03,nya
nya,nya,1PE,105,0,50.66,50.66,47.26,21.8,17.71,20.67,19.73,17.32,0.51,0.25,20.67,sna
nya,nya,2PE,61,0,49.95,49.81,46.55,21.76,18.58,21.76,20.43,17.93,0.95,0.5,21.76,sna
nya,nya,GEN,250,0,53.78,53.7,50.69,30.15,25.01,24.7,23.18,20.4,3.16,1.44,24.7,sna
nya,nya,JAS,108,0,50.22,50.17,46.76,20.76,17.42,20.09,19.21,16.82,1.08,0.36,20.09,sna
nya,nya,MRK,678,0,62.2,61.9,58.72,38.69,31.74,22.68,21.65,19.01,3.02,0.57,22.68,sna
nya,nya,[epistles],274,0,50.33,50.27,46.9,21.41,17.83,20.73,19.71,17.29,0.86,0.29,20.73,sna
