translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nit,nit,1PE,105,0,28.61,28.03,25.14,13.99,2.77,16.56,16.2,14.27,1.38,0.81,16.56,tel
nit,nit,2PE,60,0,28.23,27.86,24.99,13.18,3.16,18.01,17.69,15.63,1.64,0.5,18.01,tel
nit,nit,JAS,108,0,27.36,27.27,24.55,13.93,3.07,18.19,18.01,15.89,2.09,0.83,18.19,tel
nit,nit,MRK,672,0,29.55,28.67,25.55,15.95,1.56,14.59,13.85,12.13,0.9,0.08,14.59,tel
nit,nit,[epistles],273,0,28.07,27.72,24.9,13.79,2.98,17.48,17.2,15.17,1.69,0.75,17.48,tel
vgr,vgr,1PE,105,0,23.74,22.84,20.2,8.51,1.41,19.01,18.08,15.93,2.23,1.05,19.01,tel
vgr,vgr,2PE,61,0,21.98,20.88,18.42,6.7,0.74,18.13,17.12,15.0,1.65,0.29,18.13,tel
vgr,vgr,JAS,108,0,22.77,22.04,19.42,7.76,0.66,17.82,17.06,14.97,1.69,0.2,17.82,tel
vgr,vgr,MRK,678,0,25.55,24.79,22.09,12.5,1.89,15.67,15.07,13.22,2.01,0.36,15.67,tel
vgr,vgr,[epistles],274,0,22.95,22.06,19.48,7.8,1.0,18.36,17.47,15.35,1.92,0.58,18.36,tel
